# Places on the map (art/map.svg), checked against Pleiades (pleiades.stoa.org, CC BY) on 2026-08-25.
# role: point = the symbol sits on the coordinate; label = a region/island name, positioned for legibility, not a point.
# km = distance between the map coordinate and the Pleiades representative point (meaningless for labels).
# pleiades_id empty = no Pleiades entry; Ithacan features follow the traditional identifications.
panel	name	role	lat	lon	pleiades_id	pleiades_title	pleiades_lat	pleiades_lon	km
greece	Ithaca	label	38.42	20.68	530906	Ithaca (island)	38.4003	20.6928	2.5
greece	Same	label	38.2	20.62	530826	Cephallania (island)	38.2494	20.5474	8.4
greece	Zacynthus	label	37.78	20.85	531155	Zacynthus (island)	37.7780	20.7804	6.1
greece	Dodona	point	39.55	20.79	530843	Dodona (Epirus)	39.5464	20.7877	0.4
greece	Ephyra	point	39.24	20.53	530870	Ephyra/Kichyros	39.2435	20.5307	0.4
greece	Thesprotia	label	39.78	20.45	531117	Thesprotia	39.4579	20.5565	37.0
greece	Elis	point	37.89	21.38	570220	Elis (city)	37.8913	21.3744	0.5
greece	Pylos	point	37.03	21.7	156116232	Nestor's Palace	37.0271	21.6950	0.5
greece	Pherae	point	37.04	22.11	570596	Pherai	37.0378	22.1109	0.3
greece	Sparta	point	37.08	22.43	570685	Sparta	37.0818	22.4247	0.5
greece	Achaea	label	38.13	22.0	570028	Achaea/Achaia (region)	38.2544	21.7793	23.7
greece	Mycenae	point	37.73	22.76	570491	Mycenae	37.7275	22.7538	0.6
greece	Argos	point	37.63	22.73	570106	Argos	37.6310	22.7204	0.9
greece	Malea	point	36.45	23.202	570455	Malea Pr.	36.4504	23.2017	0.1
greece	Cythera	label	36.22	22.98	570186	Cythera (island)	36.2401	22.9829	2.3
greece	Parnassus	point	38.53	22.62	541012	Parnassus (mountain)	38.5352	22.6221	0.6
greece	Thebes	point	38.32	23.32	541138	Thebai/Thebae	38.3199	23.3177	0.2
greece	Athens	point	37.97	23.73	579885	Athenae	37.9716	23.7239	0.6
greece	Sunium	point	37.65	24.02	580108	Sounion (Attica: cape)	37.6501	24.0263	0.6
greece	Euboea	label	38.85	23.55	540775	Euboea (island)	38.5300	23.8700	45.1
greece	Geraestus	point	37.977	24.538	570259	Geraistos Pr.	37.9773	24.5384	0.0
greece	Scyros	label	38.9	24.55	541108	Skyros (settlement)	38.9030	24.5654	1.4
greece	Delos	label	37.4	25.27	599587	Delos (settlement)	37.3973	25.2682	0.3
greece	Iolcus	point	39.366	22.969	540837	Iolkos	39.3663	22.9689	0.0
greece	Ismarus	point	40.874	25.511	501507	Maroneia	40.8738	25.5114	0.0
greece	Cicones	label	41.1	25.3	501468	Kikones	40.9356	25.5611	28.5
greece	Lemnos	label	39.9	25.2	550693	Lemnos (island)	39.9050	25.2291	2.5
greece	Troy	point	39.96	26.24	550595	Ilium/Troia	39.9574	26.2385	0.3
greece	Tenedos	label	39.83	26.07	550912	Tenedos (island)	39.8206	26.0353	3.1
greece	Lesbos	label	39.2	26.3	550696	Lesbos (island)	39.1775	26.2375	5.9
greece	Psyra	label	38.55	25.57	550846	Psyra (island)	38.5729	25.5774	2.6
greece	Chios	label	38.4	26.05	550497	Chios (island)	38.3836	26.0142	3.6
greece	Crete	label	35.15	24.1	589748	Creta (island)	35.2148	25.0741	88.8
greece	Cnossus	point	35.3	25.16	589872	Knosos/Col. Iulia Nobilis Cnosos	35.2978	25.1631	0.4
greece	Phaestus	point	35.05	24.81	589987	Phaistos	35.0512	24.8144	0.4
wider	Ithaca	point	38.42	20.68	530906	Ithaca (island)	38.4003	20.6928	2.5
wider	Troy	point	39.96	26.24	550595	Ilium/Troia	39.9574	26.2385	0.3
wider	Crete	label	34.7	24.6	589748	Creta (island)	35.2148	25.0741	71.7
wider	Sicily	label	37.5	14.95	981549	Sicilia (Roman province)	37.5030	15.0881	12.2
wider	Temesa (?)	point	39.036	16.16	452469	Temesa/Tempsa	39.0365	16.1596	0.1
wider	Libya	label	31.8	21.0					
wider	Pharos	point	31.21	29.88	727197	Pharos	31.2140	29.8854	0.7
wider	Egypt	label	31.85	26.0					
wider	Cyprus	label	35.05	33.2	707498	Cyprus (island)	34.9954	33.2225	6.4
wider	Paphos	point	34.705	32.579	707596	(Palai)Paphos	34.7053	32.5791	0.0
wider	Sidon	point	33.56	35.37	678393	Sidon/Col. Aurelia Pia	33.5619	35.3728	0.3
wider	Phoenicia	label	33.9	35.0	678334	Phoenice (region)	33.2500	35.2500	75.9
ithaca	School of Homer	point	38.46	20.63	308594948	School of Homer Ag. Athanasios excavations (Ithaca)	38.4605	20.6378	0.7
ithaca	Polis Bay	point	38.435	20.615					
ithaca	Mt Neriton	point	38.42	20.66					
ithaca	Phorcys' harbor	point	38.375	20.7					
ithaca	Nymphs' cave	point	38.36	20.705					
ithaca	Arethusa	point	38.33	20.73					
ithaca	Asteris	point	38.385	20.585					
ithaca	Same	point	38.25	20.65	531093	Same/Samos (settlement)	38.2508	20.6476	0.2
ithaca	Cephallenia	label	38.42	20.475	530826	Cephallania (island)	38.2494	20.5474	20.0
ithaca	Ithaca	label	38.215	20.86	530906	Ithaca (island)	38.4003	20.6928	25.2
