ODYSSEY — BOOK II full-book caption alignment
Duration: 1405.010s
Narration cues: 335
Source words: 4502
Directly matched source words: 4328 (96.1%)
Recognized words: 4521
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.180 | When               |              0 | When Dawn appeared, the early-born, with fingers of rose, / the dear son of Odysseus rose up from his bed,
  2 |   13.700 | put                |              0 | put on his clothes, slung his / sharp sword about his shoulder,
  3 |   17.600 | bound              |              0 | bound the beautiful sandals beneath his shining feet, / and came out of his bedroom looking like a god.
  4 |   23.820 | At                 |              0 | At once he ordered the clear-voiced heralds / to cry the long-haired Achaeans into assembly.
  5 |   29.360 | The                |              0 | The heralds cried the summons, / and the men gathered quickly.
  6 |   33.440 | And                |              0 | And when they were assembled, all in one gathering, / he went to the assembly, the bronze spear in his palm,
  7 |   39.380 | not                |              0 | not alone: two swift dogs followed with him, / and Athena poured a wondrous grace upon him.
  8 |   45.600 | All                |              0 | All the people gazed at him in wonder as he came; / he sat in his father's seat, and the elders gave way.
  9 |   52.820 | Then               |              0 | Then the hero Aegyptius was first to speak among them, / a man bent with age, who knew things past numbering.
 10 |   59.960 | His                |              0 | His own dear son had gone with godlike Odysseus / in the hollow ships to Ilium of the fine horses —
 11 |   66.260 | the                |              1 | Antiphus the spearman; the savage Cyclops killed him / in his hollow cave, and made of him his last supper.
 12 |   73.120 | Three              |              0 | Three other sons he had: / one kept company with the suitors —
 13 |   77.720 | and                |              1 | Eurynomus — and two worked their father's lands always.
 14 |   80.480 | Even               |              0 | Even so, he could not forget the one: / grieving, mourning him.
 15 |   84.440 | in                 |              0 | In tears for him, he now addressed the assembly:
 16 |   87.980 | Hear               |              0 | "Hear me now, men of Ithaca, hear what I say.
 17 |   91.120 | Never              |              0 | Never once has our assembly met, has our council sat, / since noble Odysseus went away in the hollow ships.
 18 |   97.300 | Who                |              0 | Who has gathered us now? On whom has need come down so hard, / whether among the young men or the elder-born?
 19 |  104.320 | Has                |              0 | Has he heard some news of the army coming home which / he might tell us plainly, having learned of it first?
 20 |  110.060 | Or                 |              0 | Or is there some other public / matter he would open and argue?
 21 |  113.440 | A                  |              0 | A good man he seems to me, a blessed one. May Zeus
 22 |  117.300 | accomplish         |              0 | accomplish for him some good — / whatever his heart desires."
 23 |  121.340 | So                 |              0 | So he spoke, and the dear son of Odysseus / rejoiced at the omen of the word,
 24 |  126.020 | and                |              0 | and sat no longer: desire took him to speak.
 25 |  129.200 | He                 |              0 | He stood in the middle of the assembly, / and the scepter was put in his hand
 26 |  132.600 | by                 |              0 | by the herald Peisenor, a man of clear-headed counsel.
 27 |  136.440 | Then               |              0 | Then he spoke, turning first to the old man:
