ODYSSEY — BOOK III full-book caption alignment
Duration: 1597.250s
Narration cues: 372
Source words: 5001
Directly matched source words: 4707 (94.1%)
Recognized words: 5057
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.680 | and                |              0 | And the sun leapt up, leaving the beautiful water, / into the bronze-bright heaven, to shine for the immortals
  2 |   14.700 | and                |              0 | and for mortal men across the grain-giving plowland;
  3 |   18.100 | and                |              0 | and they came in to Pylos, / the strong-built city of Neleus.
  4 |   21.900 | there              |              0 | There on the beach of the sea / the people were offering victims,
  5 |   24.980 | bulls              |              0 | bulls all black, to the earth-shaker / with the blue-black hair.
  6 |   28.840 | nine               |              0 | Nine tiers of seats there were, / five hundred sitting in each,
  7 |   32.280 | and                |              0 | and before each company nine bulls were held ready.
  8 |   35.440 | They               |              0 | They had just tasted the innards, / and were burning thigh-cuts for the god,
  9 |   39.420 | when               |              0 | when the ship came straight in: / they brailed the sails of the trim vessel,
 10 |   43.640 | them               |              1 | furled them aloft, moored her, / and stepped ashore themselves;
 11 |   47.700 | and                |              0 | and Telemachus stepped from the ship, / Athena going before him.
 12 |   51.440 | The                |              0 | The goddess spoke to him first, gray-eyed Athena:
 13 |   55.060 | Telemachus,        |              0 | "Telemachus, no more need of / shyness now, not a scrap of it:
 14 |   58.960 | This               |              0 | this is why you have sailed the sea — to learn news
 15 |   61.440 | of                 |              0 | of your father: where the earth / hides him, what doom he met.
 16 |   65.260 | Come               |              0 | Come then, go straight to Nestor, breaker of horses:
 17 |   68.500 | let                |              0 | let us see what counsel he keeps hidden in his breast.
 18 |   71.520 | him                |              1 | Beg him yourself, so that he speaks unerring truth.
 19 |   74.780 | He                 |              0 | He will tell you no lie: / he is clear-headed beyond most men."
 20 |   78.620 | Then               |              0 | Then clear-headed Telemachus answered her:
 21 |   81.240 | mentor,            |              0 | "Mentor, how am I to go up? How greet him?
 22 |   84.020 | I                  |              0 | I have no practice yet in close-woven speech — / and a young man is shy of questioning his elder."
 23 |   89.300 | Then               |              0 | Then the goddess spoke to him again, gray-eyed Athena:
 24 |   92.500 | Telemachus,        |              0 | "Telemachus, some of it your own heart will see, / and some a god will prompt. For I do not think
 25 |   98.320 | you                |              0 | you were born and raised without the gods' good will."
 26 |  101.120 | So                 |              0 | So speaking, Pallas Athena led the way swiftly, / and he followed in the footsteps of the god.
 27 |  106.460 | They               |              0 | They came to the gathering-place of / the men of Pylos, the rows of seats,
 28 |  110.560 | where              |              0 | where Nestor sat with his sons, and around them companions
 29 |  113.660 | were               |              0 | were readying the feast, / roasting meats and skewering others.
 30 |  117.320 | But                |              0 | But when they saw the strangers they came all in a crowd,
 31 |  120.220 | clasped            |              0 | clasped their hands in welcome, and bade them be seated.
 32 |  123.360 | First,             |              0 | First Peisistratus, Nestor's son, coming near, / took the hands of both, and settled them at the feast
 33 |  129.280 | on                 |              0 | on soft fleeces over the sand of the sea, / beside his brother Thrasymedes and his father;
 34 |  134.760 | and                |              0 | and he gave them portions of the innards, and poured / wine into a golden cup, and pledging her he addressed
 35 |  139.920 | Pallas             |              0 | Pallas Athena, daughter of aegis-bearing Zeus:
 36 |  143.040 | Pray               |              0 | "Pray now, stranger, to the lord Poseidon, / for his is the feast you have found in coming here.
 37 |  148.120 | and                |              0 | And when you have poured and prayed, as is right and / custom, give this man too the cup of honey-sweet wine
 38 |  153.500 | to                 |              0 | to pour, since he also, I think, / prays to the deathless ones:
 39 |  157.000 | all                |              0 | all men have need of the gods.
 40 |  158.600 | but                |              0 | But he is the younger, my own age to the year, / and so to you first I give the golden cup."
 41 |  163.680 | with               |              0 | With that he set in her hand the cup of sweet wine; / and Athena rejoiced in the man — clear-headed, just —
 42 |  169.900 | because,           |              0 | because to her first he gave the golden cup; / and at once she prayed at length to the lord Poseidon:
 43 |  176.860 | hear               |              0 | "Hear me, Poseidon who hold the earth, and do not / grudge us who pray the accomplishment of these works.
 44 |  182.180 | to                 |              0 | To Nestor first of all, and to his sons, grant glory, / and then to all the rest give gracious recompense,
 45 |  188.780 | to                 |              0 | to all the Pylians, for this splendid hecatomb.
 46 |  191.740 | and                |              0 | And grant besides that Telemachus and / I sail home with the thing accomplished
 47 |  195.640 | we                 |              0 | we came here for, in our fast black ship."
 48 |  198.800 | so                 |              0 | So she prayed — and she herself was accomplishing it all.
 49 |  202.320 | Then               |              0 | Then she gave Telemachus the beautiful two-handled cup, / and the dear son of Odysseus prayed the same.
 50 |  208.120 | and                |              0 | And when they had roasted the / outer meats and drawn them off,
 51 |  212.620 | they               |              0 | they divided the portions and feasted the glorious feast.
 52 |  216.680 | But                |              0 | But when they had put away desire for food and drink,
 53 |  219.980 | Gerenian           |              0 | Gerenian Nestor the horseman began to speak among them:
 54 |  223.260 | now                |              0 | "Now is the fairer time to inquire and ask our guests / who they are, now they have had their joy of food.
 55 |  229.840 | strangers,         |              0 | Strangers, who are you? / From where do you sail the watery ways?
 56 |  234.080 | Is                 |              0 | Is it on some business — or do you rove at / random, the way sea-raiders do, who wander
 57 |  239.420 | their              |              1 | staking their own lives, bearing evil to strangers?"
 58 |  243.280 | Then               |              0 | Then clear-headed Telemachus answered him, emboldened: / Athena herself had set courage in his heart,
 59 |  249.280 | so                 |              0 | so that he might ask about his absent father / and so that good report among men might be his:
