ODYSSEY — BOOK IV full-book caption alignment
Duration: 2642.234s
Narration cues: 629
Source words: 8584
Directly matched source words: 8153 (95.0%)
Recognized words: 8554
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.960 | And                |              0 | And they came to hollow Lacedaemon, land of ravines, / and drove to the house of glorious Menelaus.
  2 |   14.520 | They               |              0 | They found him giving a wedding-feast to his many kinsmen
  3 |   17.260 | for                |              0 | for his son and his blameless daughter, in his own house.
  4 |   20.900 | The                |              0 | The daughter he was sending to the / son of Achilles, breaker of ranks:
  5 |   24.900 | In                 |              0 | in Troy long ago he had promised her, had bowed his head
  6 |   28.540 | to                 |              0 | to give her, and now the gods were / bringing the marriage to pass.
  7 |   33.000 | So                 |              0 | So now with horses and chariots he was sending her forth
  8 |   36.000 | to                 |              0 | to the famous city of the Myrmidons, whom that man ruled.
  9 |   39.960 | For                |              0 | For his son he was bringing home / Alector's daughter out of Sparta —
 10 |   43.680 | The                |              0 | the son born to him in his strength, / well-loved Megapenthes,
 11 |   47.000 | out                |              0 | out of a slave-woman. For to Helen / the gods showed no more children
 12 |   50.740 | after              |              0 | after the first time, when she bore her lovely daughter / Hermione, who had the beauty of golden Aphrodite.
 13 |   57.360 | so                 |              0 | So they were feasting through the great high-roofed house, / the neighbors and kinsmen of glorious Menelaus,
 14 |   62.820 | taking             |              0 | taking their pleasure; and among them a godlike / singer sang to the lyre, and two tumblers among them,
 15 |   68.800 | as                 |              0 | as he led the song, went spinning through their midst.
 16 |   71.820 | And                |              0 | And the two of them halted at the / gateway of the house, themselves
 17 |   75.160 | their              |              1 | and their horses — the hero / Telemachus and Nestor's shining son.
 18 |   80.120 | Lord               |              0 | Lord Eteoneus came out and saw them, / the busy henchman of glorious Menelaus,
 19 |   85.220 | and                |              0 | and went through the house to bring / the news to the shepherd of the people;
 20 |   88.700 | standing           |              0 | standing close he spoke winged words to him:
 21 |   91.820 | Two                |              0 | "Two strangers here, Menelaus, nurtured of Zeus — / two men, and they look like the stock of great Zeus.
 22 |   98.020 | Tell               |              0 | Tell me: do we unyoke their swift horses for them, / or send them on to another man, who may welcome them?"
 23 |  103.760 | Then               |              0 | Then fair-haired Menelaus, greatly stirred, replied:
 24 |  107.060 | you                |              0 | "You were no fool before, Eteoneus, son of Boethous — / but now you are babbling nonsense like a child.
 25 |  112.980 | The                |              0 | The two of us ate plenty of strangers' bread, / you and I, on the road home, hoping Zeus might someday
 26 |  118.300 | give               |              0 | give us rest from misery. Unyoke the strangers' horses,
 27 |  122.140 | and                |              0 | and bring the men themselves in, to share the feast."
