ODYSSEY — BOOK V full-book caption alignment
Duration: 1586.426s
Narration cues: 364
Source words: 5101
Directly matched source words: 4896 (96.0%)
Recognized words: 5092
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.820 | And                |              0 | And Dawn rose from her bed beside lordly Tithonus / to carry light to the immortals and to mortals;
  2 |   14.960 | And                |              0 | and the gods were sitting down in council, among them / Zeus who thunders on high, whose power is greatest.
  3 |   21.960 | And                |              0 | And Athena was telling over the many cares of Odysseus,
  4 |   25.060 | remembering,       |              0 | remembering: it galled her that / he was still in the nymph's house:
  5 |   29.920 | Father             |              0 | "Father Zeus, and you other blessed gods who are forever:
  6 |   33.220 | let                |              0 | let no sceptered king ever again be willingly kind / and gentle, or know the right way in his heart;
  7 |   39.020 | Let                |              0 | let him rather be harsh always, and act outrage — / since no one remembers godlike Odysseus
  8 |   44.240 | among              |              0 | among the people he ruled, and he was gentle as a father.
  9 |   47.780 | No,                |              0 | No — he lies on an island suffering strong pains in / the halls of the nymph Calypso, who holds him there
 10 |   53.120 | by                 |              0 | by force; and he cannot come to his own fatherland, / for he has no ships at hand, no oars, no companions
 11 |   59.560 | to                 |              0 | to carry him over the broad back of the sea.
 12 |   62.380 | And                |              0 | And now, besides, men are bent on killing his beloved / son on his way home: he went for news of his father
 13 |   68.260 | to                 |              0 | to holy Pylos and to shining Lacedaemon."
 14 |   71.900 | Then               |              0 | Then Zeus who gathers the clouds answered her:
 15 |   74.800 | My                 |              0 | "My child, what a word has / slipped the fence of your teeth!
 16 |   78.360 | Was                |              0 | Was it not you who framed this plan yourself —
 17 |   80.760 | that               |              0 | that Odysseus should come home / and take vengeance on those men?
 18 |   84.400 | As                 |              0 | As for Telemachus: guide him with / your skill — you have the power —
 19 |   88.260 | so                 |              0 | so that he reaches his own fatherland untouched, / and the suitors come back in their ship with nothing done."
 20 |   93.580 | He                 |              0 | He spoke, and turned to Hermes, his dear son:
 21 |   96.880 | Hermes,            |              0 | "Hermes — you are our messenger in all things else:
 22 |   99.680 | Tell               |              0 | tell the nymph of the lovely braids our fixed decree:
 23 |  102.880 | The                |              0 | the homecoming of enduring-hearted / Odysseus — that he shall return
 24 |  106.380 | with               |              0 | with no escort of gods and none of mortal men:
 25 |  109.140 | on                 |              0 | on a raft bound plank to plank, and suffering pains,
 26 |  112.600 | On                 |              0 | on the twentieth day he shall reach rich-soiled Scheria,
 27 |  115.720 | the                |              0 | the land of the Phaeacians, / who are born close kin to the gods.
 28 |  119.400 | They               |              0 | They will honor him with all their hearts, like a god, / and send him in a ship to his own dear fatherland,
 29 |  125.260 | giving             |              0 | giving him bronze and gold and clothing in plenty, / more than Odysseus would ever have carried out of Troy
 30 |  130.900 | had                |              0 | had he come home untouched with / his fair share of the spoils.
 31 |  134.280 | For                |              0 | For so it is his portion: to see his own people and / come to his high-roofed house and his own fatherland."
 32 |  140.720 | So                 |              0 | So he spoke, and the guide, / the slayer of Argus, did not disobey.
 33 |  145.760 | At                 |              0 | At once he bound beneath his feet the beautiful sandals, / ambrosial, golden, that carry him over the water
 34 |  152.140 | and                |              0 | and over the boundless earth with the breath of the wind;
 35 |  154.760 | and                |              0 | and he took up the rod with which he charms men's eyes
 36 |  157.340 | to                 |              0 | to sleep, whose eyes he wills, / and wakes others from their slumber.
 37 |  161.900 | With               |              0 | With this in his hands the strong slayer of Argus flew.
 38 |  165.300 | He                 |              0 | He stepped down on Pieria, / then dropped from the high air to the sea
 39 |  169.340 | and                |              0 | and skimmed along the waves like a shearwater, / the bird that down the terrible troughs of the barren sea
 40 |  174.240 | hunts              |              0 | hunts fish, and wets its beating wings in the brine:
 41 |  177.080 | like               |              0 | like that bird Hermes rode the crowding waves.
 42 |  180.200 | But                |              0 | But when he reached the island, far away, / he stepped from the violet sea onto dry land
 43 |  185.380 | and                |              0 | and went on till he came to the great cave where the nymph
 44 |  188.440 | of                 |              0 | of the lovely braids was living; he found her within.
 45 |  191.740 | A                  |              0 | A great fire was burning on the hearth, and the smell / of split cedar and citron-wood burning carried far,
 46 |  198.300 | all                |              0 | all over the island. Inside, / she was singing in a beautiful voice,
 47 |  202.960 | moving             |              0 | moving to and fro at the loom, / weaving with a golden shuttle.
 48 |  206.840 | And                |              0 | And around the cave a wood grew tall and flourishing:
 49 |  209.920 | Alder              |              0 | alder and black poplar and sweet-smelling cypress, / where long-winged birds made their roosts,
 50 |  215.840 | little             |              0 | little owls and hawks and long-tongued crows / of the sea, whose business is the waters.
 51 |  220.860 | And                |              0 | And there, trained over the hollow of the cave, / spread a garden vine in its prime, heavy with clusters;
 52 |  226.940 | and                |              0 | and four springs in a row ran with bright water, / close by one another, turned each its own way;
 53 |  233.120 | and                |              0 | and around them soft meadows of violet and wild celery / were blooming. There even a deathless one, arriving,
 54 |  239.700 | would              |              0 | would gaze in wonder at the / sight and be gladdened at heart.
 55 |  243.500 | there              |              0 | There the guide, the slayer of Argus, stood gazing.
 56 |  247.040 | and                |              0 | And when his heart had wondered at it all, / he went straight into the wide cave. Nor did Calypso,
 57 |  252.780 | shining            |              0 | shining among goddesses, fail to know him face to face:
 58 |  256.200 | for                |              0 | for the deathless gods are not unknown to one another, / not even one whose dwelling lies far off.
 59 |  261.900 | But                |              0 | But great-hearted Odysseus he did not find within:
 60 |  265.200 | he                 |              0 | he sat weeping on the shore, where he always sat, / shredding his heart with tears and groans and pains,
 61 |  271.260 | and                |              0 | and over the barren sea he would gaze, / letting the tears run.
 62 |  275.400 | and                |              0 | And Calypso, shining among goddesses, questioned Hermes, / seating him on a chair all bright and gleaming:
 63 |  281.920 | Why                |              0 | "Why have you come to me, Hermes of the golden rod,
 64 |  285.000 | honored            |              0 | honored guest and dear? / You have not been used to come before.
 65 |  288.260 | say                |              0 | Say what is in your mind: my heart bids me do it / if I can do it — if it is a thing that can be done.
 66 |  293.720 | but                |              0 | But follow me in first, and let me set out guest-fare."
 67 |  297.260 | So                 |              0 | So speaking the goddess drew up a table for him, / heaping it with ambrosia, and mixed the red nectar;
 68 |  303.120 | and                |              0 | and the guide, the slayer of Argus, drank and ate.
 69 |  306.280 | and                |              0 | And when he had supped, and steadied his heart with food, / then he spoke out in answer to her question:
