ODYSSEY — BOOK VI full-book caption alignment
Duration: 1058.090s
Narration cues: 253
Source words: 3406
Directly matched source words: 3241 (95.2%)
Recognized words: 3400
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.840 | So                 |              0 | So he slept there, much-enduring noble Odysseus, / overcome with sleep and weariness. But Athena
  2 |   14.860 | went               |              0 | went her way to the land and city of the Phaeacian men, / who once, in years past, lived in spacious Hypereia,
  3 |   22.120 | near               |              0 | near the Cyclopes, men of overweening pride, / who kept raiding them, and were the stronger in force.
  4 |   29.700 | From               |              0 | From there godlike Nausithous / had uprooted them and led them,
  5 |   34.300 | and                |              0 | and settled them in Scheria, far from men who eat bread, / and drove a wall around the city, and built houses,
  6 |   41.560 | and                |              0 | and made temples for the gods, / and divided out the plowlands.
  7 |   45.880 | But                |              0 | But he long since had gone down to Hades, broken by fate,
  8 |   50.540 | and                |              0 | and now Alcinous ruled, his counsels known from the gods.
  9 |   54.620 | To                 |              0 | To his house went the goddess, gray-eyed Athena, / devising the homecoming of great-hearted Odysseus.
 10 |   61.200 | She                |              0 | She went into the richly-worked chamber where a girl / lay sleeping, like the immortals in build and beauty:
 11 |   68.000 | daughter           |              1 | Nausicaa, daughter of great-hearted Alcinous; / and by her two handmaids, with beauty from the Graces,
 12 |   73.920 | each               |              2 | one at each doorpost; and the shining doors were shut.
 13 |   76.920 | Like               |              0 | Like a breath of wind she swept to the girl's / bed and stood above her head, and spoke to her,
 14 |   82.920 | In                 |              0 | in the likeness of the daughter of Dymas, famed for / ships, a girl her own age, and dear to her heart.
 15 |   89.200 | In                 |              0 | In her likeness gray-eyed Athena said:
 16 |   92.220 | how                |              1 | "Nausicaa, how did your mother bear so careless a girl?
 17 |   95.200 | Your               |              0 | Your shining clothes lie there uncared-for — and your / wedding is near, when you must wear beautiful things
 18 |  100.980 | yourself,          |              0 | yourself, and provide them for / those who lead you in procession:
 19 |  104.470 | like               |              4 | it is from things like these that a good name goes up
 20 |  107.860 | among              |              0 | among the people, and a father / and honored mother are glad.
 21 |  111.760 | Come,              |              0 | Come, let us go washing at the showing of dawn:
 22 |  114.820 | I                  |              0 | I will come with you and work / beside you, so you may be ready
 23 |  117.800 | the                |              0 | the sooner — for truly not much longer will you be unwed:
 24 |  121.480 | Already,           |              0 | already the best men through all the land of the / Phaeacians are wooing you — and your own line is theirs.
 25 |  127.360 | Come               |              0 | Come then: press your famous father, before the dawn, / to make ready the mules and a wagon to carry
 26 |  133.340 | the                |              0 | the sashes and the robes and the shining coverlets.
 27 |  136.600 | and                |              0 | And for yourself, too, / it is far more fitting so than going
 28 |  139.620 | on                 |              0 | on foot: the washing-pools are a long way from the city."
 29 |  143.660 | So                 |              0 | So speaking, gray-eyed Athena went away to Olympus, / where they say the seat of the gods stands fast
 30 |  148.940 | forever,           |              0 | forever: not shaken by winds, never soaked by rain, / nor does snow come near it, but clear sky
 31 |  155.340 | spreads            |              0 | spreads cloudless there, / and a white radiance runs over it;
 32 |  159.120 | In                 |              0 | in that place the blessed gods / take pleasure all their days.
 33 |  162.520 | There              |              0 | There the gray-eyed one went, / when she had counseled the girl.
 34 |  165.460 | At                 |              0 | At once Dawn came on her fair throne, and woke Nausicaa / of the lovely robe; and she wondered at her dream
 35 |  171.820 | and                |              0 | and went through the house to tell her parents, / her dear father and mother. She found them within:
 36 |  177.080 | her                |              0 | her mother sat at the hearth with her attendant women, / spinning yarn dyed sea-purple; her father she met
 37 |  182.740 | at                 |              0 | at the door, on his way out to join the famous kings / in council, where the lordly Phaeacians called him.
 38 |  189.020 | She                |              0 | She stood close to her dear father and said:
 39 |  191.780 | Papa               |              0 | "Papa dear, won't you make ready a wagon for me,
 40 |  194.040 | the                |              0 | the high one with the good wheels, / so I can take the fine clothes
 41 |  197.220 | to                 |              0 | to the river for washing, that lie about me dirty?
 42 |  200.760 | And                |              0 | And for you too it is only proper, / when you sit among the first men
 43 |  204.000 | debating           |              0 | debating counsels, to have clean clothing on your body.
 44 |  207.760 | And                |              0 | And five dear sons have been born to you in these halls — / two married, and three flourishing bachelors —
 45 |  213.620 | and                |              0 | and they are always wanting fresh-washed clothes to wear
 46 |  215.940 | when               |              0 | when they go to the dancing. All this is on my mind."
 47 |  219.340 | so                 |              0 | So she spoke: she was shy of naming ripe marriage / to her dear father. But he saw it all, and answered:
 48 |  225.720 | I                  |              0 | "I do not grudge you the mules, child, or anything else.
 49 |  229.160 | Go,                |              0 | Go: the slaves will make ready a wagon for you,
 50 |  232.120 | the                |              0 | the high one with the good wheels, / fitted with its top-rack."
 51 |  235.380 | so                 |              0 | So saying he called to the slaves, and they obeyed.
 52 |  237.680 | Outside            |              0 | Outside, they made ready the smooth-running mule / wagon and led the mules under and yoked them to it;
 53 |  243.500 | and                |              0 | and the girl brought the shining clothing from / her room and laid it in the polished wagon,
 54 |  247.740 | and                |              0 | and her mother packed a box with heartening food / of every kind — put in delicacies, and poured wine
 55 |  252.920 | a                  |              1 | in a goatskin bag; and the girl climbed up on the wagon.
 56 |  256.320 | and                |              0 | And she gave her soft olive oil in a golden flask,
 57 |  259.280 | so                 |              0 | so she and her attendant women might / anoint themselves after bathing.
 58 |  262.900 | And                |              0 | And she took up the whip and the glossy reins
 59 |  265.500 | and                |              0 | and whipped the mules to a run; / and there was a clatter of hooves,
 60 |  269.160 | and                |              0 | and they strained on without slackening, / carrying the clothes and her —
 61 |  272.460 | not                |              0 | not alone: her handmaids went along beside her.
 62 |  275.220 | and                |              0 | And when they came to the beautiful stream of the river,
 63 |  277.480 | where              |              0 | where the washing-pools never fail — plenty of clear water
 64 |  280.840 | welling            |              0 | welling up through and running over, / to clean the dirtiest things —
 65 |  284.560 | There              |              0 | there they loosed the mules from under the / wagon and shooed them along the eddying river
 66 |  288.740 | to                 |              0 | to graze the honey-sweet water-grass; / and they lifted the clothes
 67 |  292.240 | from               |              0 | from the wagon in armfuls and / carried them into the dark water,
 68 |  295.600 | and                |              0 | and trod them briskly in the trenches, racing one another.
 69 |  299.060 | and                |              0 | And when they had washed and rinsed away all the dirt,
 70 |  301.380 | they               |              0 | they spread everything out in / rows along the shingle of the sea,
 71 |  304.940 | where              |              0 | where the waves washed the pebbles / cleanest against the shore.
 72 |  308.180 | and                |              0 | And when they had bathed and / rubbed themselves richly with oil,
 73 |  311.560 | they               |              0 | they took their meal by the banks of the river and / waited for the clothes to dry in the shining of the sun.
 74 |  317.080 | and                |              0 | And when she and her slave-women / had had their joy of food,
 75 |  319.960 | they               |              0 | they threw off their head-veils and played at ball, / and white-armed Nausicaa led them in the singing.
 76 |  325.480 | As                 |              0 | As Artemis the arrow-pourer goes down the / mountains, down long Taygetus or Erymanthus,
