ODYSSEY — BOOK VII full-book caption alignment
Duration: 1121.018s
Narration cues: 262
Source words: 3484
Directly matched source words: 3313 (95.1%)
Recognized words: 3486
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    5.980 | So                 |              0 | So he prayed there, much-enduring noble Odysseus, / while the mules' strength carried the girl to the city.
  2 |   12.240 | And                |              0 | And when she reached her father's famous house, / she halted at the gateway; and her brothers around her
  3 |   17.540 | stood,             |              0 | stood, men like the immortals, and from under the wagon / they loosed the mules, and carried the clothing in;
  4 |   23.400 | and                |              0 | and she herself went to her room. And her fire was lit
  5 |   26.580 | by                 |              0 | by an old woman of Apeire, the chamber-keeper Eurymedusa, / whom once the curved ships brought from Apeire:
  6 |   33.180 | They               |              0 | they had picked her out as a prize of honor for Alcinous,
  7 |   36.140 | because            |              0 | because he ruled all the Phaeacians, / and the people listened to him as to a god.
  8 |   41.080 | She                |              0 | She had nursed white-armed Nausicaa in the halls,
  9 |   43.980 | and                |              0 | and now she kindled her fire / and made her supper in her room.
 10 |   48.240 | And                |              0 | And then Odysseus rose to go to the city; and Athena,
 11 |   51.900 | with               |              0 | with kind thought for Odysseus, / poured a thick mist around him,
 12 |   55.540 | so                 |              0 | so that no great-hearted Phaeacian, crossing his path, / might needle him with words and ask him who he was.
 13 |   62.240 | But                |              0 | But when he was on the point of entering the lovely city, / there the goddess, gray-eyed Athena, met him,
 14 |   68.360 | In                 |              0 | in the likeness of a young girl, / unwed, carrying a pitcher.
 15 |   72.340 | She                |              0 | She stopped in front of him, and noble Odysseus asked her:
 16 |   76.020 | child              |              0 | "Child, would you not guide me to the house of a / man named Alcinous, who is lord among these people?
 17 |   81.100 | I                  |              0 | I am a stranger, hard-worn, come here from far away, / out of a distant country: so I know not one
 18 |   87.460 | of                 |              0 | of the people whose city and land this is."
 19 |   90.020 | Then               |              0 | Then the goddess spoke to him again, gray-eyed Athena:
