ODYSSEY — BOOK VIII full-book caption alignment
Duration: 1863.122s
Narration cues: 447
Source words: 5943
Directly matched source words: 5663 (95.3%)
Recognized words: 5977
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.480 | When               |              0 | When Dawn appeared, the early-born, with fingers of rose,
  2 |   10.860 | the                |              0 | the sacred strength of Alcinous rose up from his bed, / and up rose Zeus-born Odysseus, sacker of cities.
  3 |   18.900 | and                |              0 | And the sacred strength of Alcinous led the way
  4 |   21.360 | to                 |              0 | to the Phaeacians' gathering-place, / built there beside the ships.
  5 |   25.740 | They               |              0 | They came and sat down on the polished stones side / by side. And Pallas Athena went up and down the city
  6 |   31.400 | in                 |              0 | in the likeness of a herald of wise Alcinous, / devising the homecoming of great-hearted Odysseus,
  7 |   37.900 | and                |              0 | and standing beside each man she spoke her word:
  8 |   40.900 | This               |              0 | "This way, come — leaders and / counselors of the Phaeacians —
  9 |   44.400 | to                 |              0 | to the gathering-place, to learn about the stranger / who has come new to the house of wise Alcinous
 10 |   49.320 | after              |              0 | after wandering the sea — / a man like the immortals in body."
 11 |   53.420 | so                 |              0 | So speaking she stirred the strength and spirit of each,
 12 |   56.740 | and                |              0 | and quickly the gathering-place and the seats were filled
 13 |   58.920 | with               |              0 | with men assembling; and many marveled at the / sight of Laertes' battle-wise son. For Athena
 14 |   65.120 | poured             |              0 | poured a wondrous grace over his head and shoulders / and made him taller to look at, and broader,
 15 |   70.180 | so                 |              0 | so that he might be dear to all the Phaeacians, / and dreaded, and revered, and might accomplish the many
 16 |   75.840 | trials             |              0 | trials in which the Phaeacians would test Odysseus.
 17 |   78.940 | And                |              0 | And when they were assembled, all in one gathering, / Alcinous addressed them all, and said:
