ODYSSEY — BOOK IX full-book caption alignment
Duration: 1839.506s
Narration cues: 430
Source words: 5947
Directly matched source words: 5645 (94.9%)
Recognized words: 5919
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.840 | Then               |              0 | Then Odysseus of the many designs answered him:
  2 |    9.820 | Lord               |              0 | "Lord Alcinous, most renowned among all peoples, / truly it is a fine thing to hear a singer
  3 |   14.780 | such               |              0 | such as this man is, with a voice like the gods'.
  4 |   18.340 | For                |              0 | For I say there is no accomplishment more / graceful than when joy holds a whole people,
  5 |   23.480 | and                |              0 | and feasters up and down the / hall sit listening to a singer,
  6 |   26.620 | seated             |              0 | seated in order, and beside them the tables are loaded / with bread and meats, and the cupbearer draws wine
  7 |   32.180 | from               |              0 | from the bowl and carries it round and fills the cups:
  8 |   35.500 | This               |              0 | this seems to my mind the fairest thing there is.
  9 |   38.180 | but                |              0 | But your heart has turned to asking after my grievous / cares — so that I may mourn and groan the more.
 10 |   44.060 | What               |              0 | What first, then, what last shall I tell through?
 11 |   47.140 | For                |              0 | For the gods of heaven have / given me sorrows past counting.
 12 |   50.880 | Now                |              0 | Now first I will tell my name, so that you too may know it — / and I hereafter, if I escape the pitiless day,
 13 |   57.280 | your               |              2 | may be your guest-friend, though my home is far away.
 14 |   60.540 | I                  |              0 | I am Odysseus, son of Laertes — known to all mankind / for my cunning designs; and my fame has reached heaven.
 15 |   67.640 | My                 |              0 | My home is Ithaca, clear-skied under its mountain,
 16 |   70.460 | tall               |              1 | Neriton, tall in its shivering leaves; and around / it islands lie in a cluster, close to one another —
 17 |   76.860 | and                |              1 | Dulichium and Same and wooded Zacynthus.
 18 |   79.880 | Ithaca             |              0 | Ithaca itself lies low, farthest out in the sea toward / the dark of sunset — the rest face dawn and the sun —
 19 |   86.740 | rough              |              0 | rough ground, but a good nurse of men. I cannot
 20 |   89.360 | see                |              0 | see any sweeter sight, for my part, / than a man's own country.
 21 |   93.280 | The                |              0 | The queenly goddess Calypso would / have kept me there beside her
 22 |   96.080 | in                 |              0 | in her hollow caves, hungry to make me her husband, / and so, in the same way, Circe detained me in her halls,
 23 |  102.620 | The                |              0 | the guileful lady of Aeaea, hungry to make me her husband:
 24 |  106.000 | but                |              0 | but they never once persuaded the heart in my breast.
 25 |  108.880 | so                 |              0 | So true it is that nothing is / sweeter than a man's own country
 26 |  112.060 | and                |              0 | and his own parents, even if he lives in a rich house / far away in a strange land, cut off from his parents.
 27 |  118.640 | But                |              0 | But come — let me tell you also my / journey home, and all its cares,
 28 |  122.480 | which              |              0 | which Zeus laid on me on the way from Troy.
 29 |  125.020 | From               |              0 | From Ilium the wind bore me to the Cicones — to Ismarus. / There I sacked the city and destroyed the men;
 30 |  131.020 | and                |              0 | and out of the city we took their wives and much substance
 31 |  133.480 | and                |              0 | and divided all, so that no man / might go cheated of his share by me.
 32 |  137.440 | Then               |              0 | Then, you may be sure, I ordered a quick-footed retreat — / and they, the great fools, would not obey.
 33 |  142.280 | There              |              0 | There and then much wine was being drunk, and many sheep
 34 |  145.720 | they               |              0 | they slaughtered along the shore, / and shambling crook-horned cattle;
 35 |  149.360 | and                |              0 | and meanwhile Cicones went crying to Cicones, / their neighbors inland — more of them, and better men,
 36 |  155.440 | skilled            |              0 | skilled at fighting men from chariots and, / where need was, on foot.
 37 |  159.440 | They               |              0 | They came, then, thick as leaves / and flowers come in their season,
 38 |  163.040 | in                 |              0 | in the morning mist. Then an evil doom of Zeus stood by us, / luckless men, to load us with pains in plenty.
 39 |  169.460 | They               |              0 | They set their battle-line and fought by the fast ships,
 40 |  172.920 | and                |              0 | and each side pelted each with bronze-tipped spears.
 41 |  175.820 | as                 |              0 | As long as it was morning, / and the sacred day still growing,
 42 |  179.180 | So                 |              0 | so long we stood them off and held / our ground, though they were more;
 43 |  182.760 | but                |              0 | but when the sun turned over toward unyoking-time, / then the Cicones broke the Achaeans, and mastered them.
 44 |  188.960 | Six                |              0 | Six from each ship, six strong-greaved companions / were killed; the rest of us fled from death and doom.
 45 |  194.840 | From               |              0 | From there we sailed on further, grieved at heart, / glad to be out of death, having lost our dear companions.
 46 |  202.280 | But                |              0 | But my curved ships would not go forward before we had / called three times on each of those poor companions
 47 |  208.600 | who                |              0 | who died on the plain, cut down by the Cicones.
 48 |  212.160 | And                |              0 | And Zeus who gathers the clouds roused / the North Wind against the ships
 49 |  215.880 | in                 |              0 | in a howling squall, and covered land and sea / alike with cloud; and night rose up out of heaven.
 50 |  222.120 | The                |              0 | The ships were swept along slantwise, their sails
 51 |  225.160 | ripped             |              0 | ripped into three and four rags / by the strength of the wind.
 52 |  228.840 | We                 |              0 | We lowered them into the hulls, in terror of death, / and rowed the ships hard in toward the shore.
 53 |  234.660 | There              |              0 | There for two nights and two days without a break
 54 |  236.960 | we                 |              0 | we lay, eating our hearts with / weariness and pain together.
 55 |  241.220 | But                |              0 | But when Dawn of the lovely braids / brought the third day round,
 56 |  244.060 | we                 |              0 | we set up the masts and hauled the white sails open
 57 |  247.400 | and                |              0 | and sat, and the wind and the / steersmen held them on course.
 58 |  251.360 | And                |              0 | And now I would have come unharmed to my own country, / but the wave and the current, as I rounded Malea,
 59 |  257.700 | and                |              0 | and the North Wind beat me off / course and drove me wide of Cythera.
 60 |  262.000 | From               |              0 | From there for nine days I was carried by ruinous winds
 61 |  264.860 | across             |              0 | across the fish-filled sea; / and on the tenth we stepped ashore
 62 |  268.560 | in                 |              0 | in the land of the Lotus-eaters, / who eat a flower for food.
 63 |  272.540 | There              |              0 | There we set foot on the mainland and drew water,
 64 |  275.320 | and                |              0 | and the companions quickly took / their meal beside the fast ships.
 65 |  278.980 | And                |              0 | And when we had tasted food and drink, / then I sent companions ahead to learn
 66 |  283.680 | what               |              0 | what men they were who ate bread upon this earth:
 67 |  286.660 | Two                |              0 | two men I chose, and sent a third with them as herald.
 68 |  290.160 | They               |              0 | They went their way at once, / and fell in with the Lotus-eater men;
 69 |  293.740 | and                |              0 | and the Lotus-eaters had no thought of killing our / companions — but they gave them lotus to taste.
 70 |  299.300 | and                |              0 | And whoever of them ate the honey-sweet fruit of the / lotus no longer wished to bring back word or to return:
 71 |  305.540 | There              |              0 | there they wanted to stay, among the Lotus-eater men, / browsing the lotus, and to forget their homecoming.
 72 |  312.240 | These              |              0 | These men I forced back weeping to the ships,
 73 |  314.800 | dragged            |              0 | dragged them under the benches of / the hollow ships and bound them,
 74 |  317.740 | and                |              0 | and I ordered the rest of my trusted / companions to hurry and board the fast ships —
 75 |  322.240 | For                |              0 | for fear some other might eat of / the lotus and forget his homecoming.
 76 |  326.220 | And                |              0 | And they came aboard at once and / took their places at the oarlocks,
 77 |  329.600 | and                |              0 | and sitting in order they struck / the gray salt water with their oars.
 78 |  333.400 | From               |              0 | From there we sailed on further, grieved at heart.
 79 |  336.320 | and                |              0 | And we came to the land of the Cyclopes — the overweening,
 80 |  340.020 | the                |              0 | the lawless — who, trusting in the deathless gods, / plant no crop with their hands, and plow nothing:
 81 |  345.480 | Everything         |              0 | everything springs up for them unsown, / unplowed, wheat and barley, and vines that carry
 82 |  350.780 | wine               |              0 | wine in their heavy clusters, / and Zeus' rain swells it for them.
 83 |  354.480 | They               |              0 | They have no counsel-bearing assemblies, no established laws, / but live on the crests of the high mountains
 84 |  359.880 | Hollow             |              1 | in hollow caves, and each man lays down the law
 85 |  363.280 | to                 |              0 | to his own wives and children — / and they care nothing for one another.
 86 |  366.820 | Now                |              0 | Now a scrubby island stretches outside the harbor there, / neither close in to the Cyclopes' land nor far out,
 87 |  374.060 | wooded.            |              0 | wooded; and on it goats past counting breed, / wild goats: no tread of men scares them away,
 88 |  381.040 | no                 |              0 | no hunters push through to it, men who suffer hard / days in the timber, working the mountain crests;
