ODYSSEY — BOOK X full-book caption alignment
Duration: 1825.872s
Narration cues: 436
Source words: 5876
Directly matched source words: 5583 (95.0%)
Recognized words: 5862
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.120 | We                 |              0 | We came next to the Aeolian island; and there lived / Aeolus, Hippotas' son, dear to the deathless gods,
  2 |   13.960 | on                 |              0 | on a floating island: all around it a wall of bronze, / unbreakable, and the cliff runs up sheer.
  3 |   19.820 | Twelve             |              0 | Twelve children of his live in his halls, / six daughters and six sons in their prime,
  4 |   24.780 | and                |              0 | and he has given his daughters / to his sons to be their wives.
  5 |   28.260 | They               |              0 | They are always feasting beside their dear father
  6 |   30.900 | and                |              0 | and their honored mother, and good / things past counting are set before them;
  7 |   35.180 | All                |              0 | all day the house is savory with roasting, / and the courtyard rings with the sound;
  8 |   39.760 | and                |              0 | and at night they sleep beside their honored / wives among blankets, on corded bedsteads.
  9 |   44.960 | to                 |              0 | To their city, then, we came, and their beautiful house.
 10 |   48.400 | A                  |              0 | A full month he made much of me, / and questioned me on everything —
 11 |   52.860 | the                |              1 | Ilium, the Argives' ships, the Achaeans' homecoming — / and I told him all of it through, in its due order.
 12 |   59.000 | and                |              0 | And when I in my turn asked for the road, and begged him
 13 |   61.740 | to                 |              0 | to send me on, he refused me nothing: / he prepared my sending.
 14 |   65.640 | he                 |              0 | He gave me a bag — the flayed hide of a nine-year ox —
 15 |   69.220 | and                |              0 | and in it he bound the courses of the blustering winds:
 16 |   71.960 | for                |              0 | for the son of Cronos made him steward of the winds, / to still them or to rouse them, whichever he will.
 17 |   77.540 | In                 |              0 | In my hollow ship he lashed it fast with a shining cord
 18 |   80.240 | of                 |              0 | of silver, so that not the / smallest breath could slip past;
 19 |   84.080 | and                |              0 | and for me he sent out the West Wind's breath to blow, / to carry the ships and the men. But it was not to be
 20 |   90.040 | accomplished,      |              0 | accomplished: we were destroyed by our own folly.
 21 |   93.340 | Nine               |              0 | Nine days and nights alike we sailed on, and on the / tenth our fathers' fields were rising into view —
 22 |   98.900 | so                 |              0 | so near, we could see men tending their fires.
 23 |  101.980 | Then               |              0 | Then sweet sleep came over me, worn out as I was:
 24 |  105.360 | all                |              0 | all that time I had worked the / ship's sheet myself, yielding it
 25 |  108.620 | to                 |              0 | to no other companion, to bring us home the faster.
 26 |  111.780 | and                |              0 | And the companions began to talk to one another, / and said I was bringing home gold and silver for myself,
 27 |  117.440 | gifts              |              0 | gifts of great-hearted Aeolus, Hippotas' son.
 28 |  120.460 | and                |              0 | And thus would one of them say, / with a glance at his neighbor:
 29 |  123.160 | at                 |              1 | 'Look at him — how loved he is, how honored, / among all men, whatever city or land he comes to!
 30 |  129.120 | He                 |              0 | He carries out of Troy a mass of beautiful treasure,
 31 |  131.880 | his                |              0 | his plunder — while we, who have accomplished / the same long road, come home with empty hands.
 32 |  137.760 | and                |              0 | And now Aeolus, obliging him in friendship, has given him
 33 |  140.760 | this               |              0 | this besides. Quick, then — let us see what is in it:
 34 |  144.120 | how                |              0 | how much gold, how much silver the bag holds.'
 35 |  147.260 | So                 |              0 | So they talked, and the companions' evil counsel won.
 36 |  150.260 | they               |              0 | They opened the bag — and all the winds burst out,
 37 |  153.080 | and                |              0 | and the storm snatched them up / at once and swept them seaward,
 38 |  155.900 | weeping,           |              0 | weeping, away from their fathers' land. And I, / waking, debated in my own blameless heart
 39 |  161.480 | whether            |              0 | whether to drop from the deck and drown in the sea / or endure in silence and stay among the living.
 40 |  167.020 | I                  |              0 | I endured, and I stayed. Covering my head
 41 |  169.880 | I                  |              0 | I lay where I was; and the ships were / carried by the evil blast of the storm
 42 |  174.700 | back               |              0 | back to the Aeolian island; and my companions groaned.
 43 |  178.180 | There              |              0 | There we set foot on the mainland and drew water,
 44 |  181.700 | and                |              0 | and the companions quickly took / their meal beside the fast ships.
 45 |  185.480 | and                |              0 | And when we had tasted food and drink, / then I took with me a herald and one companion
 46 |  190.780 | and                |              0 | and went to the famous house of Aeolus. / I found him feasting beside his wife and his children.
 47 |  196.800 | We                 |              0 | We came into the house and sat down by the doorposts
 48 |  200.120 | on                 |              0 | on the threshold; and they were / amazed at heart, and asked:
 49 |  204.140 | are                |              1 | 'How are you here, Odysseus? What evil power attacked you?
 50 |  208.500 | surely             |              0 | Surely we sent you off with all care, to reach
 51 |  211.160 | your               |              0 | your fatherland and your house, / and whatever place is dear to you.'
 52 |  215.080 | so                 |              0 | So they spoke; and I, grieving at heart, addressed them:
 53 |  219.200 | evil               |              1 | 'My evil companions ruined me — they, and a pitiless / sleep. But heal it, friends: the power is yours.'
 54 |  225.880 | So                 |              0 | So I spoke, plying them with soft words; / and they fell silent. And the father answered:
 55 |  231.620 | of                 |              1 | 'Out of this island — fast — you vilest thing alive!
 56 |  235.440 | It                 |              0 | It is against all right for me to harbor or to / send on his way a man the blessed gods detest.
 57 |  241.760 | out,               |              0 | Out! — since you come here hated by the deathless ones.'
 58 |  245.220 | So                 |              0 | So speaking he sent me from his house, groaning heavily.
 59 |  249.620 | From               |              0 | From there we sailed on further, grieved at heart.
 60 |  252.640 | and                |              0 | And the men's spirit was worn down by the grinding rowing — / our own fault: no sending wind showed any more.
 61 |  259.320 | Six                |              0 | Six days and nights alike we sailed on, / and on the seventh we came to Lamus' steep citadel —
 62 |  265.380 | of                 |              1 | Telepylus of the Laestrygonians, / where herdsman hails herdsman:
 63 |  268.880 | the                |              0 | the one driving in calls, and the one driving out answers.
 64 |  272.520 | There              |              0 | There a sleepless man could have earned a double wage, / one herding cattle, one pasturing silvery sheep:
 65 |  279.020 | so                 |              0 | so close together are the paths of night and day.
 66 |  282.220 | There              |              0 | There, when we came into the famous harbor — / a sheer cliff runs unbroken all around it, on both sides,
 67 |  288.160 | and                |              0 | and jutting headlands, facing one another, / thrust out at the mouth, and the entrance is narrow —
 68 |  293.160 | There              |              0 | there all the others steered their curved ships in,
 69 |  295.660 | and                |              0 | and moored them inside the hollow harbor, close together:
 70 |  298.420 | for                |              0 | for no wave ever swelled in there, great or / small, but a white calm lay all around it.
 71 |  303.460 | I                  |              0 | I alone held my black ship outside, there at / the edge, and made the cables fast to the rock;
 72 |  308.960 | and                |              0 | and I climbed a broken lookout-height and stood there.
 73 |  312.020 | No                 |              0 | No works of oxen or of men showed anywhere; / we saw only smoke springing up from the land.
 74 |  317.420 | Then               |              0 | Then I sent companions ahead to learn what / men they were who ate bread upon this earth:
 75 |  322.240 | two                |              0 | two men I chose, and sent a third with them as herald.
 76 |  325.540 | They               |              0 | They went ashore and took a / level road, by which the wagons
