ODYSSEY — BOOK XI full-book caption alignment
Duration: 2046.888s
Narration cues: 491
Source words: 6555
Directly matched source words: 6098 (93.0%)
Recognized words: 6526
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |   10.620 | And                |              0 | And when we had come down to the ship and the sea,
  2 |   13.600 | first              |              0 | first of all we hauled the ship / down to the bright salt water,
  3 |   17.440 | and                |              0 | and set the mast and the sails in the black ship, / and took the sheep and put them aboard, and ourselves
  4 |   22.820 | aboard             |              1 | went aboard grieving, letting the big tears fall.
  5 |   26.340 | And                |              0 | And for us, behind the dark-blue-prowed ship, / a following wind that filled the sail, a good companion,
  6 |   33.140 | was                |              0 | was sent by Circe of the lovely braids, / dread goddess with a mortal's voice.
  7 |   37.640 | so                 |              0 | So when we had seen to the tackle through the ship,
  8 |   40.180 | we                 |              0 | we sat, and the wind and the steersman held her on course.
  9 |   44.040 | All                |              0 | All day long her sail was / stretched as she crossed the water;
 10 |   47.460 | and                |              0 | and the sun went down, and all the ways grew dark.
 11 |   50.960 | She                |              0 | She came to the limits of deep-flowing Ocean.
 12 |   53.280 | There              |              0 | There is the land and city of the Cimmerian men, / shrouded in mist and cloud: never does the shining
 13 |   59.660 | sun,               |              0 | sun look down on them with his rays, / not when he climbs toward the starry heaven,
 14 |   64.300 | when               |              0 | when he turns back from heaven to earth, / but deadly night is stretched over wretched mortals.
 15 |   70.280 | Coming             |              0 | Coming there we beached the ship, and took out / the sheep, and walked along the stream of Ocean
 16 |   75.060 | until              |              0 | until we came to the place that Circe had appointed.
 17 |   78.220 | There              |              0 | There Perimedes and Eurylochus held the victims, / and I drew the sharp sword from beside my thigh
 18 |   84.320 | and                |              0 | and dug a pit about a cubit's measure this way and that,
 19 |   87.240 | and                |              0 | and around it I poured a drink-offering to all the dead —
 20 |   90.320 | first              |              0 | first with milk and honey mingled, then with sweet wine,
 21 |   93.560 | the                |              0 | the third time with water; / and I sprinkled white barley over it.
 22 |   97.320 | and                |              0 | And I entreated, over and over, / the strengthless heads of the dead:
 23 |  101.320 | vowing             |              0 | vowing that, come to Ithaca, I would offer in my halls
 24 |  104.180 | a                  |              0 | a barren heifer, my best, / and heap the pyre with good things;
 25 |  108.700 | and                |              0 | and to Tiresias, apart, alone, I would sacrifice a ram
 26 |  112.140 | all                |              0 | all black, the one that stands out from all our flocks.
 27 |  115.660 | and                |              0 | And when with vows and prayers I had entreated them,
 28 |  118.660 | the                |              0 | the tribes of the dead, / I took the sheep and cut their throats
 29 |  121.620 | over               |              0 | over the pit, and the dark-clouded / blood ran; and they gathered,
 30 |  125.340 | the                |              0 | the souls of the dead who are gone, up out of Erebus:
 31 |  128.740 | brides             |              0 | brides, and unwed youths, / and old men worn by long suffering,
 32 |  132.640 | and                |              0 | and tender girls with the fresh grief on their hearts, / and many men gashed by the bronze-tipped spears,
 33 |  138.360 | killed             |              1 | men killed in war, in armor caked with their blood.
 34 |  141.600 | In                 |              0 | In crowds from every side they came flocking about the pit
 35 |  145.160 | with               |              0 | with a sound that had no earthly likeness; / and the pale terror took me.
 36 |  149.600 | Then               |              0 | Then I roused my companions, and commanded them
 37 |  152.200 | to                 |              0 | to flay the sheep that lay there slaughtered by the / pitiless bronze, and burn them, and pray to the gods —
 38 |  158.140 | to                 |              0 | to mighty Hades and dread Persephone; and I myself, / drawing the sharp sword from beside my thigh,
 39 |  164.030 | sat                |              0 | sat there, and would not let the / strengthless heads of the dead
 40 |  167.110 | come               |              0 | come near the blood before I had questioned Tiresias.
 41 |  170.570 | first              |              0 | First came the soul of my companion Elpenor, / for he was not yet buried under the wide-wayed earth:
