ODYSSEY — BOOK XIII full-book caption alignment
Duration: 1421.400s
Narration cues: 345
Source words: 4631
Directly matched source words: 4351 (94.0%)
Recognized words: 4581
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.780 | So                 |              0 | So he spoke; they were all hushed in silence, / held fast under the spell, through the shadowy halls.
  2 |   14.820 | Then               |              0 | Then Alcinous answered him in turn, and said:
  3 |   18.060 | Odysseus,          |              0 | "Odysseus — now that you have come / to my house with its floor of bronze,
  4 |   21.800 | its                |              0 | its high roof, I do not think you will be driven wandering
  5 |   24.720 | back               |              0 | back again as you return, however much you have suffered.
  6 |   28.600 | And                |              0 | And to each man of you I say this, laying it on you —
  7 |   32.120 | You                |              0 | you who in my halls forever drink the elders' / fire-bright wine, and listen to the singer:
  8 |   37.420 | Clothing           |              0 | clothing for the guest lies packed / already in the polished chest,
  9 |   40.420 | with               |              0 | with gold of intricate work and all the other gifts / the counselors of the Phaeacians brought him here.
 10 |   45.820 | Come               |              0 | Come now, let us give him besides / a great tripod and a cauldron,
 11 |   49.840 | each               |              0 | each man of us; and we in turn will / gather it back from the people:
 12 |   53.320 | It                 |              0 | it is hard on one man to give / so freely without repayment."
 13 |   57.540 | So                 |              0 | So spoke Alcinous, and his word pleased them well, / and they went home to sleep, each man to his own house.
 14 |   64.060 | When               |              0 | When Dawn appeared, the early-born, with fingers of rose,
 15 |   67.480 | they               |              0 | they hurried to the ship, carrying / the bronze that does honor to a man,
 16 |   71.320 | and                |              0 | and the sacred strength of Alcinous stowed it well,
 17 |   74.060 | going              |              0 | going himself through the ship, / under the benches, so that it might not
 18 |   77.400 | hamper             |              0 | hamper any of the crew at the rowing, / when they leaned to the oars.
 19 |   80.820 | Then               |              0 | Then they went to the house of / Alcinous and saw to the feast.
 20 |   84.880 | For                |              0 | For them the sacred strength of Alcinous slaughtered an ox
 21 |   87.300 | to                 |              0 | to Zeus of the black cloud, / the son of Cronos, lord of all.
 22 |   91.460 | They               |              0 | They burned the thigh-cuts and shared the glorious feast, / rejoicing; and among them sang the godlike singer,
 23 |   97.400 | honored            |              1 | Demodocus, honored among the people. But Odysseus / kept turning his head toward the blazing sun,
 24 |  103.820 | willing            |              0 | willing it to set: for now his / whole heart strained toward home.
 25 |  107.720 | as                 |              0 | As when a man aches for his supper — all day long
 26 |  110.500 | his                |              0 | his two wine-dark oxen have dragged the / joint of plow through fallow ground,
 27 |  114.400 | and                |              0 | and welcome to him is the setting of the sun's light,
 28 |  116.920 | the                |              0 | the going home to supper, / and his knees buckle as he walks:
 29 |  120.440 | So                 |              0 | so welcome to Odysseus was the setting of the sun's light.
 30 |  123.800 | At                 |              0 | At once he spoke among the oar-loving Phaeacians, / and to Alcinous above all he declared his word:
 31 |  129.180 | Lord               |              0 | "Lord Alcinous, most renowned among all peoples:
 32 |  132.300 | the                |              1 | pour the offering, and send me on my / way unharmed. And yourselves — farewell.
 33 |  136.660 | for                |              0 | For now all that my own heart wished is brought to pass:
 34 |  139.560 | gifts              |              3 | a sending, and gifts of friendship. May the gods of heaven
 35 |  142.020 | make               |              0 | make them a blessing! And may I come home and find / my blameless wife there, with those I love unharmed.
 36 |  147.860 | and                |              0 | And you who stay: may you be the joy of your wedded wives
 37 |  150.540 | and                |              0 | and of your children; and may the gods grant prosperity
 38 |  153.300 | of                 |              0 | of every kind, and no evil come / to dwell among your people."
 39 |  157.300 | So                 |              0 | So he spoke, and they all approved it and urged that / the guest be sent home, since he had spoken rightly.
 40 |  163.200 | and                |              0 | And then the strength of Alcinous said to the herald:
 41 |  165.760 | the                |              2 | "Pontonous, mix the bowl, and serve out the wine to / all in the hall, so that with a prayer to father Zeus
 42 |  171.860 | we                 |              0 | we may send the guest to his own fatherland."
 43 |  174.880 | So                 |              0 | So he spoke, and Pontonous mixed the honey-hearted wine
 44 |  178.320 | and                |              0 | and served it to all in turn; and they poured to the / blessed gods who hold wide heaven, there where each man
 45 |  184.480 | sat,               |              0 | sat. But noble Odysseus rose to his feet / and set the two-handled cup in Arete's hand,
 46 |  190.520 | and                |              0 | and lifting his voice he spoke winged words to her:
