ODYSSEY — BOOK XIV full-book caption alignment
Duration: 1720.248s
Narration cues: 407
Source words: 5595
Directly matched source words: 5322 (95.1%)
Recognized words: 5586
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    8.200 | But                |              0 | But he went up from the harbor by a rough track / through wooded country, along the heights, where Athena
  2 |   13.760 | had                |              0 | had shown him the noble swineherd — the man who cared
  3 |   17.060 | for                |              0 | for his substance beyond all the / house-slaves noble Odysseus had acquired.
  4 |   21.500 | He                 |              0 | He found him sitting in the fore-court, where his yard
  5 |   23.820 | was                |              0 | was built up high, in a place / with a clear view all around,
  6 |   27.640 | Big                |              0 | big and handsome, with a cleared / run round it. The swineherd
  7 |   31.540 | had                |              0 | had built it himself for the swine of his absent master — / without his mistress, without old Laertes —
  8 |   37.640 | out                |              0 | out of quarried stones, and coped it with wild pear;
  9 |   41.260 | And                |              0 | and outside he had driven stakes the / whole circuit, this way and that,
 10 |   45.020 | close              |              0 | close-set and thick, split out of the black heart of / the oak; and inside the yard he had made twelve sties
 11 |   50.860 | hard               |              0 | hard by one another, bedding for the swine; / and in each one fifty wallowing sows were penned,
 12 |   56.560 | breeding           |              0 | breeding females. The boars slept outside, / far fewer: for the godlike suitors kept thinning them
 13 |   63.120 | at                 |              0 | at their feasts — the swineherd forever / sending in the best of all the fatted hogs;
 14 |   67.800 | and                |              0 | and these numbered three hundred and sixty.
 15 |   70.140 | them               |              2 | And beside them four dogs always slept — like wild / beasts, raised by the swineherd, a leader of men.
 16 |   76.600 | He                 |              0 | He himself was fitting sandals to his feet, / cutting them from a well-tanned oxhide. The others
 17 |   81.980 | had                |              0 | had gone their ways, this man here, / that man there, with the herded swine —
 18 |   86.720 | three              |              0 | three of them; the fourth he had sent off to the city
 19 |   89.200 | to                 |              0 | to bring a hog to the overweening suitors — forced to it —
 20 |   92.680 | so                 |              0 | so they might slaughter it and / glut their hearts with meat.
 21 |   95.760 | Suddenly           |              0 | Suddenly the baying dogs caught sight of Odysseus:
 22 |   98.460 | they               |              0 | they rushed him, yelping. And Odysseus sat down — / pure craft — and the staff dropped from his hand.
 23 |  105.180 | There              |              0 | There, at his own farm, / he would have suffered shameful hurt,
 24 |  108.320 | but                |              0 | but the swineherd came fast on his quick feet after them,
 25 |  111.380 | darting            |              0 | darting through the gateway — / the hide flew from his hand —
 26 |  114.640 | and                |              0 | and shouting he scattered the dogs this way and that / with a shower of stones. And he addressed his master:
 27 |  120.660 | Old                |              0 | "Old man — the dogs came one breath short of tearing you
 28 |  123.540 | to                 |              0 | to pieces, and the shame of it would have poured on me.
 29 |  126.660 | and                |              0 | And the gods have given me griefs / enough besides, and groaning:
 30 |  130.300 | Here               |              0 | here I sit, mourning a godlike master, / and fatten hogs for other men
 31 |  134.180 | to                 |              0 | to eat, while he, perhaps, is starving for bread and / wanders the lands and towns of men of alien speech —
 32 |  140.320 | if                 |              0 | if indeed he lives still, and sees the light of the sun.
 33 |  143.580 | But                |              0 | But follow me — into the hut, old man, so that you too, / when you have had your fill of bread and wine,
 34 |  148.560 | may                |              0 | may say where you come from, / and all the cares you have borne."
 35 |  152.220 | So                 |              0 | So speaking the noble swineherd led him to the hut,
 36 |  155.160 | brought            |              0 | brought him in and set him down: / he heaped springy brushwood
 37 |  158.520 | and                |              0 | and spread on it the skin of a shaggy wild goat — / his own bedding, big and thick. And Odysseus was glad
 38 |  164.660 | that               |              0 | that he received him so, and spoke a word, and named him:
 39 |  168.540 | may                |              0 | "May Zeus grant you, stranger, / and the other deathless gods,
 40 |  171.340 | whatever           |              0 | whatever you wish most — since you / welcomed me with all your heart."
 41 |  175.360 | And                |              0 | And you answered him, Eumaeus the swineherd:
 42 |  178.040 | stranger           |              0 | "Stranger, it is not right for me — / not though a worse man came —
 43 |  181.260 | to                 |              0 | to slight a stranger: / for from Zeus they come, all of them,
 44 |  185.660 | strangers          |              0 | strangers and beggars; and a gift, though small, is dear —
 45 |  188.720 | from               |              0 | from such as we are: for that is the way of slaves, / always afraid, when the masters who hold the power
 46 |  193.980 | are                |              0 | are the young ones. As for him — / the gods have bound his homecoming,
 47 |  198.280 | the                |              0 | the man who would have loved me devotedly, / and given me possessions —
 48 |  201.780 | a                  |              0 | a house, a plot of land, / a wife that many men had courted —
 49 |  205.500 | such               |              0 | such things as a kind-hearted master gives his house-slave
 50 |  208.080 | who                |              0 | who has labored hard for him, / whose work a god makes prosper,
 51 |  211.680 | the                |              0 | the way this work of mine prospers, / at which I hold my post.
 52 |  215.360 | for                |              0 | For that my master would have paid / me richly, had he grown old here.
 53 |  218.820 | but                |              0 | But he is dead. — And I wish / Helen's whole breed had gone down
 54 |  223.600 | on                 |              0 | on its knees to destruction, / for she loosed the knees of many men:
 55 |  228.060 | He                 |              0 | he too went off for the sake of Agamemnon's honor / to Ilium of the fine horses, to fight the Trojans."
 56 |  235.300 | So                 |              0 | So speaking he quickly belted in his tunic with his sash
 57 |  238.340 | and                |              0 | and went to the sties, where the / tribes of young pigs were penned.
