ODYSSEY — BOOK XV full-book caption alignment
Duration: 1801.872s
Narration cues: 433
Source words: 5743
Directly matched source words: 5445 (94.8%)
Recognized words: 5772
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    8.100 | But                |              0 | But Pallas Athena went her way to / wide-dancing-grounded Lacedaemon
  2 |   12.420 | to                 |              0 | to remind the shining son of great-hearted Odysseus / of his homecoming, and to stir him to return.
  3 |   18.740 | She                |              0 | She found Telemachus and Nestor's splendid son / sleeping in the forecourt of glorious Menelaus —
  4 |   24.640 | Nestor's           |              0 | Nestor's son, at least, mastered by soft sleep;
  5 |   27.440 | but                |              0 | but no sweet sleep held Telemachus: through the ambrosial / night cares for his father kept his heart awake.
  6 |   34.120 | And                |              0 | And gray-eyed Athena stood near him and spoke:
  7 |   37.420 | Telemachus,        |              0 | "Telemachus, it is no longer good, / this roaming far from home
  8 |   41.280 | with               |              0 | with your goods abandoned, and men in your own house
  9 |   44.100 | of                 |              0 | of such overbearing insolence — / or they will devour it all,
 10 |   47.760 | dividing           |              0 | dividing your goods among them, / and your journey come to nothing.
 11 |   51.440 | of                 |              2 | Rouse Menelaus of the great war-cry — quickly —
 12 |   54.480 | to                 |              0 | to send you off, so you may find / your blameless mother still at home.
 13 |   58.600 | For                |              0 | For already her father and her brothers press her / to marry Eurymachus: he outbids all the suitors
 14 |   63.840 | gifts,             |              1 | in gifts, and keeps raising the bride-price higher.
 15 |   67.280 | Take               |              0 | Take care nothing is carried / from the house against your will.
 16 |   70.480 | You                |              0 | You know what kind of heart is in a woman's breast:
 17 |   72.880 | She                |              0 | she wants to swell the house of the man who marries her,
 18 |   76.100 | And                |              0 | and of her former children, / of the wedded husband she has lost,
 19 |   79.580 | she                |              0 | she thinks no more once he is dead. She asks nothing.
 20 |   83.060 | No,                |              0 | No — go back yourself and put everything in the hands / of whichever of the slave-women seems the best to you,
 21 |   88.740 | until              |              0 | until the gods reveal to you your honored bride.
 22 |   91.580 | And                |              0 | And another word I will tell you: lay it up in your heart.
 23 |   94.900 | The                |              0 | The best men of the suitors lie / in wait for you — deliberately —
 24 |   98.400 | In                 |              0 | in the strait between Ithaca and rugged Samos, / hungry to kill you before you reach your fathers' land.
 25 |  104.080 | But                |              0 | But I do not look for that. No: / sooner will the earth close over
 26 |  107.540 | more               |              0 | more than one of the suitor-men who eat away your living.
 27 |  110.560 | Keep               |              0 | Keep your well-made ship far out from the islands,
 28 |  113.480 | and                |              0 | and sail by night as well as day: / that one of the deathless ones
 29 |  116.600 | who                |              0 | who guards and keeps you will send a breeze behind you.
 30 |  119.660 | And                |              0 | And when you reach the first shore of Ithaca, / send the ship and all the companions on to the city,
 31 |  124.560 | but                |              0 | but yourself, before all else, go to the swineherd
 32 |  127.340 | who                |              0 | who keeps your swine — / whose heart is loyal to you all the same.
 33 |  131.140 | Sleep              |              0 | Sleep the night there; and send him into the city / to carry the news to watchful-minded Penelope:
 34 |  136.300 | that               |              0 | that you are safe, and have come home from Pylos."
 35 |  139.280 | So                 |              0 | So speaking, she went away to high Olympus.
 36 |  141.700 | and                |              0 | And he woke Nestor's son out of his sweet sleep, / rousing him with a kick of his heel, and said to him:
 37 |  147.420 | wake               |              0 | "Wake up, Peisistratus, son of Nestor. / Bring out the strong-hoofed
 38 |  151.200 | horses             |              0 | horses and yoke them under the chariot, / so we can be on our road."
 39 |  155.000 | Then               |              0 | Then Peisistratus, Nestor's son, answered him:
 40 |  157.460 | however            |              1 | "Telemachus — however we press for the road, there is no
 41 |  160.500 | driving            |              0 | driving through the pitch-dark night. / And it will soon be dawn.
 42 |  163.400 | Wait               |              0 | Wait, then, until the hero Atreus' son, Menelaus
 43 |  166.920 | famed              |              0 | famed for the spear, brings his / gifts and sets them in the chariot
 44 |  171.020 | and                |              0 | and sends us on our way with kindly words.
 45 |  173.720 | For                |              0 | For a guest remembers, all his days, / the host who shows him kindness."
 46 |  178.240 | So                 |              0 | So he spoke; and at once Dawn / of the golden throne came on.
 47 |  182.480 | and                |              0 | And Menelaus of the great war-cry came up to them, / fresh-risen from his bed, from beside fair-haired Helen.
 48 |  188.780 | When               |              0 | When the dear son of Odysseus caught sight of him, / he hurried the shining tunic on about his body
 49 |  194.000 | and                |              0 | and threw his great mantle over his sturdy shoulders —
 50 |  196.940 | the                |              0 | the young hero — and went out; and coming up beside him, / Telemachus, dear son of godlike Odysseus, said:
 51 |  203.720 | son                |              1 | "Menelaus, son of Atreus, / Zeus-nurtured, leader of peoples:
 52 |  207.980 | send               |              0 | send me back now, at last, to my own dear fatherland, / for now my heart is longing to go home."
 53 |  213.660 | Then               |              0 | Then Menelaus of the great war-cry answered him:
 54 |  216.580 | far                |              1 | "Telemachus — far be it from me to hold you here for long,
 55 |  219.540 | when               |              0 | when you strain for home. I would blame another man / as much for it — a host who loved beyond measure
 56 |  225.440 | or                 |              0 | or hated beyond measure: / due measure is better in all things.
 57 |  230.320 | It                 |              0 | It is equal wrong to push out a guest who does / not wish to go, and to hold one back who is eager.
 58 |  235.940 | Cherish            |              0 | Cherish the guest who is with you; / speed the one who would leave.
 59 |  239.840 | Only               |              0 | Only wait until I bring my gifts / and set them in the chariot —
 60 |  243.120 | beautiful          |              0 | beautiful gifts; your own eyes will / see them — and I tell the women
 61 |  247.000 | to                 |              0 | to lay a meal in the hall from the plenty stored within.
 62 |  250.860 | It                 |              0 | It is both honors at once — the glory and the profit —
 63 |  254.780 | to                 |              0 | to dine before you go, over the wide and boundless earth.
 64 |  258.680 | and                |              0 | And if you care to swing through / Hellas and the heart of Argos,
 65 |  262.140 | I                  |              0 | I will go with you myself: I will yoke you horses
 66 |  265.120 | and                |              0 | and guide you through the cities / of men; and no one will send us
 67 |  268.500 | away               |              0 | away as we came — each will give / us one thing at least to carry:
 68 |  272.240 | some               |              0 | some tripod of fine bronze, or a cauldron, / or a pair of mules, or a golden cup."
 69 |  277.540 | Then               |              0 | Then clear-headed Telemachus answered him:
 70 |  280.340 | Menelaus           |              0 | "Menelaus, son of Atreus, / Zeus-nurtured, leader of peoples,
 71 |  284.140 | I                  |              0 | I want to go home to our own place now. For when I / left I set no guard behind me over my possessions:
 72 |  290.260 | I                  |              0 | I fear I may perish myself, hunting my godlike father, / or some fine treasure vanish from my halls."
 73 |  296.820 | And                |              0 | And when Menelaus of the great war-cry heard it, / at once he told his wife and her slave-women
 74 |  301.520 | to                 |              0 | to lay a meal in the hall from the plenty stored within.
 75 |  305.120 | son                |              3 | And Eteoneus, Boethous' son, came up to him, / just out of bed — for he lived not far away —
 76 |  310.700 | and                |              0 | and Menelaus of the great war-cry bade him light the fire
 77 |  313.820 | and                |              0 | and roast some of the meat. He heard, and did not disobey.
 78 |  317.580 | And                |              0 | And Menelaus himself went down to / his fragrant treasure-chamber —
 79 |  321.260 | not                |              0 | not alone: Helen went with him, and Megapenthes.
 80 |  324.980 | And                |              0 | And when they came to where his treasures lay, / Atreus' son took up a two-handled cup,
 81 |  329.620 | and                |              0 | and bade his son Megapenthes carry the mixing-bowl / of silver; and Helen stood by the chests
