ODYSSEY — BOOK XVI full-book caption alignment
Duration: 1515.456s
Narration cues: 355
Source words: 4883
Directly matched source words: 4676 (95.8%)
Recognized words: 4917
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.000 | but                |              0 | But the two in the hut, Odysseus and the noble swineherd,
  2 |    9.560 | had                |              0 | had lit a fire and were readying breakfast at dawn, / and had sent the herdsmen out with the gathered swine;
  3 |   16.220 | and                |              0 | and around Telemachus the yapping dogs went fawning, / and did not bark as he came. And noble Odysseus noticed
  4 |   22.860 | the                |              0 | the dogs fawning, and the sound of footsteps came to him.
  5 |   26.340 | At                 |              0 | At once he spoke winged words to Eumaeus:
  6 |   30.040 | surely             |              1 | "Eumaeus, surely some companion of yours is coming,
  7 |   33.220 | or                 |              0 | or another man well known, since the dogs are not barking / but fawn around him; and I hear the thud of feet."
  8 |   39.700 | The                |              0 | The word was not all spoken when his own dear son / stood in the gateway. The swineherd sprang up amazed,
  9 |   45.980 | and                |              0 | and out of his hands fell the vessels he was busy with,
 10 |   48.860 | mixing             |              0 | mixing the sparkling wine. He went to meet his master, / and kissed his head, and both his beautiful eyes,
 11 |   54.600 | and                |              0 | and both his hands; and a warm tear fell from him.
 12 |   58.100 | And                |              0 | And as a father, in the fullness of his heart, / embraces his son come from a far country in the tenth year,
 13 |   63.820 | only               |              1 | an only son, late-born, / for whom he has suffered many sorrows —
 14 |   68.040 | So                 |              0 | so then the noble swineherd took godlike Telemachus
 15 |   70.740 | in                 |              0 | in his arms and kissed him all over, as one escaped / from death; and sobbing he spoke winged words to him:
 16 |   77.420 | You                |              0 | "You have come, Telemachus — sweet light! I told myself
 17 |   80.660 | I                  |              0 | I would never see you again, / once you had gone by ship to Pylos.
 18 |   84.220 | Come               |              0 | Come in now, come, dear child, so my heart may take / its joy of looking at you, newly here from elsewhere.
 19 |   90.660 | You                |              0 | You do not often visit the farm and the herdsmen;
 20 |   93.280 | You                |              0 | you stay in town: so, it seems, it has pleased your heart — / to look on that deadly crowd of the suitor-men."
 21 |   99.080 | Then               |              0 | Then clear-headed Telemachus answered him:
 22 |  101.500 | so                 |              0 | "So be it, old father. / It is for your sake I have come here,
 23 |  105.080 | to                 |              0 | to see you with my eyes, and to hear you tell me / whether my mother still remains in the halls, or by now
 24 |  110.540 | some               |              0 | some other man has married her, and Odysseus' bed lies / empty of sleepers, holding only foul spider-webs."
 25 |  117.420 | Then               |              0 | Then the swineherd answered him, a leader of men:
 26 |  120.560 | indeed             |              0 | "Indeed she remains, with an enduring heart, / in your own halls; and always in misery
 27 |  125.140 | her                |              0 | her nights and her days waste away in weeping."
 28 |  127.980 | So                 |              0 | So speaking, he took the bronze spear from him, / and Telemachus went in and crossed the stone threshold.
 29 |  133.380 | as                 |              0 | As he came on, his father Odysseus yielded his seat; / but Telemachus, from his side, checked him and said:
 30 |  140.060 | sit                |              0 | "Sit, stranger. We will find a seat elsewhere in our / own farmstead. Here is the man who will set one."
 31 |  145.360 | so                 |              0 | So he spoke; and Odysseus went back / and sat down. And the swineherd
 32 |  149.440 | green              |              1 | strewed green brushwood under, and a fleece on top, / and there the dear son of Odysseus seated himself.
 33 |  155.540 | And                |              0 | And the swineherd set before them platters of roasted
 34 |  158.000 | meat,              |              0 | meat, which they had left from their eating the day / before, and briskly heaped up bread in the baskets,
 35 |  163.700 | and                |              0 | and mixed honey-sweet wine in an ivy-wood bowl, / and himself sat down opposite godlike Odysseus.
 36 |  169.600 | and                |              0 | And their hands went out to the / good things spread before them.
 37 |  172.340 | but                |              0 | But when they had put away desire for food and drink, / then Telemachus spoke to the noble swineherd:
