ODYSSEY — BOOK XVII full-book caption alignment
Duration: 1883.952s
Narration cues: 466
Source words: 6155
Directly matched source words: 5836 (94.8%)
Recognized words: 6167
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.720 | When               |              0 | When Dawn appeared, the early-born, with fingers of rose,
  2 |   10.700 | Then               |              0 | then Telemachus bound the beautiful sandals under / his feet — Telemachus, dear son of godlike Odysseus —
  3 |   17.020 | and                |              0 | and took his strong spear, which fitted his palm well,
  4 |   20.120 | straining          |              0 | straining toward the city; and he spoke to his swineherd:
  5 |   23.540 | Old                |              0 | "Old father, I am off to the town, so my mother / may see me. I do not think she will leave off
  6 |   29.300 | her                |              0 | her hateful weeping and her tearful mourning before / she sees me in the flesh. And this is my charge to you:
  7 |   36.000 | Take               |              0 | take this luckless stranger to the city, so there / he can beg his dinner; whoever wishes will give him
  8 |   41.440 | a                  |              0 | a crust and a cupful. I cannot carry every man / who comes, not I — I have griefs enough at heart.
  9 |   48.240 | And                |              0 | And if the stranger takes it hard, so much the worse
 10 |   50.980 | for                |              0 | for him. I like to say the truth of things straight out."
 11 |   54.620 | Then               |              0 | Then Odysseus of the many designs answered him:
 12 |   57.520 | Friend,            |              0 | "Friend, I have no wish myself to be kept back here.
 13 |   60.600 | Better             |              0 | Better for a beggar to beg his dinner in the town / than in the fields; whoever wishes will give to me.
 14 |   66.080 | I                  |              0 | I am no longer of an age for staying on at farmsteads, / obeying in everything the word of an overseer.
 15 |   71.440 | Go                 |              0 | Go on, then. This man will bring me, as you order,
 16 |   74.420 | as                 |              0 | as soon as I have warmed myself at / the fire, and the sun's heat comes.
 17 |   78.440 | These              |              0 | These clothes I have are terribly bad: the morning frost
 18 |   81.760 | might              |              0 | might be too much for me — and the town, you say, is far."
 19 |   85.480 | So                 |              0 | So he spoke; and Telemachus went out through the farmstead, / stepping fast, planting evils for the suitors.
 20 |   91.720 | And                |              0 | And when he reached the well-settled house, / he set his spear against a tall pillar, carrying it in,
 21 |   97.080 | and                |              0 | and went inside himself, over the stone threshold.
 22 |  100.320 | And                |              0 | And far the first to see him was the nurse Eurycleia, / spreading fleeces over the inlaid chairs;
 23 |  106.200 | straight           |              7 | with a burst of tears she came / straight toward him, and around him
 24 |  109.420 | the                |              0 | the other slave-women of enduring-hearted Odysseus
 25 |  111.800 | gathered,          |              0 | gathered, and kissed his head / and shoulders, welcoming him.
 26 |  115.840 | And                |              0 | And out of her chamber came watchful-minded / Penelope, like Artemis, or golden Aphrodite,
 27 |  121.020 | and                |              0 | and threw her arms around her dear son, weeping, / and kissed his head, and both his beautiful eyes,
 28 |  126.940 | and                |              0 | and sobbing spoke winged words to him:
 29 |  129.200 | You                |              0 | "You have come, Telemachus — sweet light! I told myself
 30 |  132.580 | I                  |              0 | I would never see you again, / once you had gone by ship to Pylos —
 31 |  136.180 | against            |              1 | secretly, against my will, for news of your dear father.
 32 |  139.460 | Come               |              0 | Come now, tell me over: what sight of him did you meet?"
 33 |  142.940 | Then               |              0 | Then clear-headed Telemachus answered her:
 34 |  145.140 | Mother             |              0 | "Mother mine, do not stir up weeping in me, nor rouse
 35 |  147.900 | the                |              0 | the heart in my breast — I have just escaped sheer death.
 36 |  151.060 | No,                |              0 | No: bathe, and take clean clothing for your body, / and go up to the upper room with your attendant women,
 37 |  156.320 | and                |              0 | and vow to all the gods that you will offer perfect
 38 |  158.440 | if                 |              1 | hecatombs, if Zeus may some day / accomplish works of requital.
 39 |  162.380 | And                |              0 | And I will go to the assembly-place, to call in / a guest who followed with me as I traveled here.
 40 |  167.580 | I                  |              0 | I sent him on ahead with my godlike companions, / and told Piraeus to take him home with him
 41 |  172.420 | and                |              0 | and care for him kindly, and honor him, until I come."
 42 |  176.700 | So                 |              0 | So he spoke; and for her the word stayed wingless.
 43 |  179.400 | and                |              0 | And she bathed, and took clean clothing for her body, / and vowed to all the gods that she would offer perfect
 44 |  184.920 | if                 |              1 | hecatombs, if Zeus might some / day accomplish works of requital.
 45 |  189.340 | Then               |              0 | Then Telemachus went on out through the hall, / spear in hand; two swift dogs followed with him,
 46 |  194.600 | and                |              0 | and Athena poured a wondrous grace upon him.
 47 |  197.220 | All                |              0 | All the people gazed at him in wonder as he came; / and around him the lordly suitors gathered,
 48 |  202.420 | speaking           |              0 | speaking him fair, but brooding / evils deep in their hearts.
 49 |  205.880 | He                 |              0 | He slipped away from their thick crowd and went / where Mentor sat, and Antiphus, and Halitherses,
 50 |  211.120 | who                |              0 | who were his father's companions from the beginning,
 51 |  213.560 | and                |              0 | and sat down there; and they questioned him on everything.
 52 |  214.700 | famous             |              2 | And Piraeus, famous for the spear, came near them,
 53 |  218.240 | leading            |              0 | leading his guest through the town / to the assembly-place; and Telemachus
 54 |  222.100 | did                |              0 | did not stand off long from his guest, but went to him.
 55 |  225.800 | and                |              0 | And Piraeus spoke to him first:
 56 |  227.960 | Telemachus,        |              0 | "Telemachus, send women to my house at once, / so I can send you back the gifts Menelaus gave you."
 57 |  234.380 | Then               |              0 | Then clear-headed Telemachus answered him:
 58 |  236.900 | we                 |              1 | "Piraeus — we do not know yet how these matters will fall.
 59 |  240.260 | If                 |              0 | If the lordly suitors kill me in my halls by / treachery, and divide up all my father's goods,
 60 |  245.260 | I                  |              0 | I would rather you keep the gifts and have the joy of them
 61 |  247.820 | than               |              0 | than any of those men. But if I / plant death and doom for them,
 62 |  251.520 | then               |              0 | then bring them, glad, to my house — and glad I shall be."
 63 |  254.940 | So                 |              0 | So speaking, he led the travel-worn stranger home.
 64 |  258.280 | and                |              0 | And when they reached the well-settled house, / they laid their mantles down on the couches and chairs
 65 |  263.540 | and                |              0 | and stepped into the polished baths and bathed.
