ODYSSEY — BOOK XVIII full-book caption alignment
Duration: 1360.608s
Narration cues: 331
Source words: 4368
Directly matched source words: 4138 (94.7%)
Recognized words: 4379
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.940 | And                |              0 | And there came a public beggar, who used to beg
  2 |   10.980 | through            |              0 | through the town of Ithaca, / notorious for his ravening belly,
  3 |   15.260 | eating             |              0 | eating and drinking without end; no strength was in him
  4 |   18.740 | and                |              0 | and no force, but in bulk he was very big to look at.
  5 |   22.700 | was                |              1 | Arnaeus was his name — his honored mother gave it / him at birth; but Irus all the young men called him,
  6 |   28.760 | because            |              0 | because he would run messages whenever anyone bade him.
  7 |   32.140 | He                 |              0 | He came now to drive Odysseus from his own house, / and abusing him he spoke winged words:
  8 |   37.660 | off                |              0 | "Off the porch, old man — / or be dragged off quick by the foot.
  9 |   41.660 | Don't              |              0 | Don't you see how they're all winking at me, / telling me to drag you? I am ashamed to, even so.
 10 |   47.500 | Up                 |              0 | Up, then — before our quarrel comes to fists."
 11 |   50.300 | then               |              0 | Then, glaring from under his brows, / Odysseus of the many designs replied:
 12 |   54.700 | Man                |              0 | "Man possessed — I do you no harm, I say you none; / I grudge no one giving to you, however much he takes up.
 13 |   61.680 | this               |              0 | This threshold will hold the two of us. You have no need
 14 |   64.800 | to                 |              0 | to grudge what is other men's. You seem to me a wanderer / just as I am — and prosperity is the gods' to give.
 15 |   71.360 | Only               |              0 | Only do not challenge me too far with / your fists, or you will anger me,
 16 |   75.460 | and                |              0 | and old as I am I will spatter your chest and lips / with blood. And I would have the more peace for it
 17 |   80.740 | tomorrow,          |              0 | tomorrow: for I do not think you would come back a / second time to the hall of Laertes' son Odysseus."
 18 |   86.460 | Then               |              0 | Then Irus the vagrant answered him in anger:
 19 |   89.340 | listen             |              0 | "Listen to the glutton — how he rattles on, / like an old woman at her oven! I'll plan him a nasty turn:
 20 |   95.300 | hit                |              0 | hit him with both hands and knock every tooth from / his jaws to the ground, like a crop-raiding sow's.
 21 |  101.220 | Belt               |              0 | Belt up now, so all these men may know us as we / fight. But how would you fight a younger man?"
 22 |  106.220 | So                 |              0 | So, before the high doors, on the polished
 23 |  108.160 | threshold,         |              0 | threshold, the two of them bristled / at each other with whole hearts.
 24 |  111.660 | and                |              0 | And the sacred strength of Antinous took note of them,
 25 |  114.720 | and                |              0 | and breaking into easy laughter he called to the suitors:
 26 |  118.240 | Friends,           |              0 | "Friends — nothing like this has ever happened yet:
 27 |  120.600 | What               |              0 | what sport the god has brought into this house!
 28 |  123.160 | The                |              0 | The stranger and Irus are wrangling with each other to / fight it out with fists. Quick — let us match them!"
 29 |  129.160 | so                 |              0 | So he spoke; and they all sprang up laughing / and crowded round the ill-dressed beggars.
 30 |  134.280 | And                |              0 | And Antinous spoke among them, Eupeithes' son:
 31 |  137.360 | hear               |              0 | "Hear me, lordly suitors, while I say a word.
 32 |  139.840 | There              |              0 | There are goats' paunches lying at the fire, / which we set by for supper, filled with fat and blood.
 33 |  145.740 | Whichever          |              0 | Whichever of the two wins and proves the better man, / let him stand up and take his pick of them;
 34 |  150.640 | and                |              0 | and ever after he shall feast with us, / and no other beggar will we let inside to beg among us."
 35 |  156.060 | So                 |              0 | So spoke Antinous, and his word pleased them well.
 36 |  159.460 | Then               |              0 | Then Odysseus of the many designs, / with craft in mind, spoke among them:
 37 |  163.820 | Friends,           |              0 | "Friends, there is no way an old man can fight a / younger one — a man worn down by misery. But the belly,
 38 |  170.100 | that               |              0 | that worker of evil, eggs me on, / to go down under his blows.
 39 |  174.020 | Come               |              0 | Come then, all of you swear me a strong oath:
 40 |  176.700 | that               |              0 | that no one, doing Irus a favor, will strike me a foul / blow with a heavy hand, and force me under for him."
 41 |  183.940 | So                 |              0 | So he spoke; and they all swore the oath as he demanded.
 42 |  187.360 | and                |              0 | And when they had sworn and sealed the oath entire, / the sacred strength of Telemachus spoke among them:
 43 |  193.200 | stranger,          |              0 | "Stranger — if your heart and your proud spirit move / you to beat this man off, fear none of the other
 44 |  198.380 | whoever            |              1 | Achaeans: whoever strikes you / will have more than one to fight.
 45 |  201.860 | your               |              0 | Your host is myself; and the kings second it, / Antinous and Eurymachus, sound-thinking men both."
 46 |  208.180 | So                 |              0 | So he spoke, and they all approved. And Odysseus / girded his rags about his loins, and bared his thighs —
 47 |  214.980 | beautiful,         |              0 | beautiful, massive — and his broad shoulders came / to light, his chest, his heavy arms. And Athena
 48 |  220.840 | came               |              0 | came close and filled out the limbs / of the shepherd of the people.
 49 |  225.360 | And                |              0 | And the suitors, every one, / were amazed beyond all measure,
 50 |  229.080 | and                |              0 | and a man would say, with a glance at his neighbor:
 51 |  231.600 | un                 |              1 | "Irus un-Irused soon — a self-invited beating!
 52 |  235.100 | look               |              0 | Look what a thigh the old man / shows from under those rags."
 53 |  238.180 | so                 |              0 | So they spoke; and Irus' heart / was stirred — for the worse.
 54 |  242.160 | Even               |              0 | Even so the serving-men girded him and led him out by / force, in terror, the flesh trembling on his limbs.
 55 |  248.860 | and                |              0 | And Antinous rebuked him, and spoke a word, and named him:
 56 |  252.460 | better             |              0 | "Better you were not alive, / you ox of a braggart, nor ever born,
 57 |  255.760 | if                 |              0 | if you shiver and fear so terribly before this man —
 58 |  258.920 | an                 |              0 | an old man, worn out with the misery that has found him.
 59 |  261.960 | But                |              0 | But I will tell you this, and it will be accomplished:
 60 |  264.640 | If                 |              0 | if this man beats you and proves the better man,
 61 |  267.140 | I                  |              0 | I will throw you in a black ship and send you to the / mainland, to King Echetus, the maimer of all mankind,
 62 |  272.640 | who                |              0 | who will slice away your nose / and ears with the pitiless bronze
 63 |  275.760 | and                |              0 | and tear off your parts and give / them raw to the dogs to share."
 64 |  279.300 | So                 |              0 | So he spoke; and a still greater / trembling seized Irus' limbs.
 65 |  283.400 | but                |              0 | But they led him into the middle; / and both men put up their hands.
 66 |  286.940 | Then               |              0 | Then much-enduring noble Odysseus debated whether to / hit him so the life would leave him where he fell,
 67 |  292.360 | or                 |              0 | or to hit him gently and just stretch him on the ground.
 68 |  295.700 | And                |              0 | And as he weighed it, this seemed to him the better way:
 69 |  298.500 | to                 |              0 | to strike gently, so the Achaeans / would not take note of him.
 70 |  302.140 | Then               |              0 | Then both put up their guard; / Irus drove at the right shoulder,
 71 |  305.880 | but                |              0 | but he struck the neck under / the ear, and crushed the bones
 72 |  308.740 | inward.            |              0 | inward: at once the red blood came up in his mouth,
 73 |  311.800 | and                |              0 | and he went down bleating in the dust, / teeth clenched together,
 74 |  315.660 | the                |              2 | heels drumming the ground. And the lordly suitors / threw up their hands and died laughing. Then Odysseus
 75 |  321.380 | took               |              0 | took him by the foot and dragged him out through the porch
 76 |  324.380 | to                 |              0 | to the courtyard and the colonnade / gates; and there he propped him
 77 |  327.520 | against            |              0 | against the courtyard fence, sitting up, / and pushed his stick into his hand,
 78 |  331.900 | and                |              0 | and lifting his voice he spoke winged words to him:
 79 |  334.680 | Sit                |              0 | "Sit there now, and keep off the pigs and dogs, / and stop lording it over strangers and beggars,
 80 |  340.240 | wretch             |              0 | wretch that you are, or a worse evil yet may find you."
 81 |  343.220 | He                 |              0 | He spoke, and slung about his shoulders his beggar's / pouch, full of holes, hanging by a twisted cord,
 82 |  349.300 | and                |              0 | and went back to the threshold / and sat down. And they went inside
 83 |  352.800 | laughing           |              0 | laughing sweetly, and saluted him with words:
 84 |  355.800 | may                |              0 | "May Zeus give you, stranger, / and the other deathless gods,
 85 |  359.360 | whatever           |              0 | whatever you most desire, whatever is dear to your heart — / you who stopped that insatiable one from begging
 86 |  364.600 | through            |              0 | through the land! For soon we will haul him to the mainland, / to King Echetus, the maimer of all mankind."
 87 |  370.820 | so                 |              0 | So they spoke; and noble Odysseus / rejoiced at the omen of the words.
 88 |  374.900 | and                |              0 | And Antinous set beside him the great paunch, / filled with fat and blood; and Amphinomus
 89 |  379.760 | took               |              0 | took up two loaves from the basket and set them by him, / and pledged him with a golden cup, and said:
 90 |  385.520 | your               |              0 | "Your health, father stranger! May happiness be yours
 91 |  388.380 | in                 |              0 | in time to come — though now you / are held fast in many evils."
 92 |  392.460 | Then               |              0 | Then Odysseus of the many designs answered him:
 93 |  395.500 | you                |              1 | "Amphinomus — you seem to me a man of good sense,
 94 |  398.240 | and                |              0 | and such was the father you come from: / I have heard his good name —
 95 |  402.140 | of                 |              1 | Nisus of Dulichium, a brave man and a rich one.
 96 |  405.420 | they               |              0 | They say you are his son; and you seem a civil man.
 97 |  408.520 | so                 |              0 | So I will tell you something. Mark it; hear me out.
 98 |  411.880 | The                |              0 | The earth breeds nothing feebler than a man — / of all things that breathe and move on the face of it.
 99 |  417.080 | He                 |              0 | He tells himself he will never / suffer evil in time to come,
100 |  420.260 | as                 |              0 | as long as the gods lend him / prowess and his knees are quick;
101 |  423.680 | but                |              0 | but when the blessed gods bring hard days too to pass, / these too he bears — unwilling, on an enduring heart.
102 |  430.300 | for                |              0 | For such is the mind of men who live on earth:
103 |  432.740 | it                 |              0 | it is weather — whatever day the / father of gods and men brings on.
104 |  436.600 | I                  |              0 | I too was once set fair to be fortunate among men,
105 |  440.300 | and                |              0 | and I did many reckless things, giving way to my force / and power, trusting in my father and my brothers.
106 |  447.700 | So                 |              0 | So let no man ever be lawless in anything, / but keep in silence whatever gifts the gods may give.
107 |  454.500 | Such               |              0 | Such recklessness I see the suitors devising here — / shearing away the goods, dishonoring the wife
108 |  460.600 | of                 |              0 | of a man who, I tell you, will not long be far
109 |  463.720 | from               |              0 | from his friends and his fathers' land. / He is very close. But you —
110 |  468.800 | may                |              0 | may your own fate steal you home / instead; may you not meet him
111 |  472.640 | the                |              0 | the day he comes back to his own dear country.
112 |  475.760 | For                |              0 | For not without blood, I think, will they be parted,
113 |  478.340 | the                |              0 | the suitors and that man, / once he comes in under his roof."
114 |  481.970 | So                 |              0 | So he spoke, and poured, and drank the honey-sweet wine,
115 |  485.580 | then               |              0 | then gave the cup back into the / hands of the marshal of the people.
116 |  489.020 | and                |              0 | And that man went off down the hall with an aching heart,
117 |  491.920 | head               |              0 | head sinking down: for his spirit foresaw the evil.
118 |  495.640 | but                |              0 | But even so he did not escape / his fate: Athena bound him too,
119 |  499.960 | to                 |              0 | to be broken under the hands and spear of Telemachus.
120 |  503.240 | Back               |              0 | Back he went, and sat down on the / chair from which he had risen.
121 |  506.780 | and                |              0 | And now the goddess, gray-eyed Athena, put it in the / mind of Icarius' daughter, watchful-minded Penelope,
122 |  514.100 | to                 |              0 | to show herself to the suitors: so she might open
123 |  516.880 | their              |              0 | their hearts wide as sails, / and come to stand more precious
124 |  520.120 | in                 |              0 | in her husband's eyes, and her son's, / than she had been before.
125 |  524.560 | She                |              0 | She laughed — an empty laugh — / and spoke a word, and named her:
126 |  529.720 | my                 |              1 | "Eurynome, my heart longs — as it never has before — / to show myself to the suitors, hateful as they are.
127 |  535.600 | And                |              0 | And I would say a word to my son — the better for him:
128 |  539.240 | not                |              0 | not to keep such company with the overweening suitors, / who speak him fair and mean him evil behind."
129 |  545.500 | And                |              0 | And Eurynome the housekeeper answered her:
130 |  547.980 | yes                |              0 | "Yes, child — all this you have said as it should be.
131 |  551.260 | go                 |              0 | Go then, and speak your word to your son; hide nothing.
132 |  554.760 | but                |              0 | But first wash your skin, and put a shine on your cheeks:
133 |  557.560 | do                 |              0 | do not go with your face all stained like this with tears. / Grief without respite makes everything worse.
134 |  563.520 | and                |              0 | And your son is now the age you prayed the deathless / ones so long to let you see: a bearded man."
135 |  569.080 | then               |              0 | Then watchful-minded Penelope answered her:
136 |  571.760 | do                 |              1 | "Eurynome, do not coax me so — out of love, / I know — to wash my skin and put a gloss upon it.
137 |  577.680 | whatever           |              0 | Whatever bloom I had, the gods who hold Olympus destroyed / it the day that man went off in the hollow ships.
138 |  583.980 | but                |              0 | But tell Autonoe and Hippodamia to / come and stand beside me in the hall:
139 |  588.320 | alone              |              0 | alone I will not go among men. I would be ashamed."
