ODYSSEY — BOOK XIX full-book caption alignment
Duration: 1917.624s
Narration cues: 466
Source words: 6150
Directly matched source words: 5894 (95.8%)
Recognized words: 6161
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.700 | But                |              0 | But noble Odysseus stayed behind in the hall, / plotting the suitors' slaughter with Athena's help.
  2 |   12.180 | At                 |              0 | At once he spoke winged words to Telemachus:
  3 |   15.660 | Telemachus,        |              0 | "Telemachus, the weapons of war must be laid away inside —
  4 |   19.140 | all                |              0 | all of them; and the suitors — when they miss them / and question you — talk them around with soft words:
  5 |   25.140 | laid               |              1 | 'I laid them out of the smoke: / they no longer looked like the arms
  6 |   28.440 | Odysseus           |              0 | Odysseus left behind when he went to Troy — they are / fouled over, as far as the breath of the fire reached.
  7 |   35.000 | And                |              0 | And a greater fear — this too / a god has cast into my heart:
  8 |   38.900 | That               |              0 | that in your wine you might raise a quarrel among / you and wound one another, and shame the feast
  9 |   43.580 | and                |              0 | and the wooing. For iron of itself draws a man on.'" / So he spoke; and Telemachus obeyed his dear father,
 10 |   50.960 | and                |              0 | and calling out the nurse Eurycleia he said:
 11 |   54.100 | for                |              8 | "Nurse, come — shut the women in their quarters for me / until I have stowed away in the storeroom my father's
 12 |   59.480 | beautiful          |              0 | beautiful arms, which the smoke / dulls, uncared for, all about
 13 |   63.720 | the                |              0 | the house, since my father went away. / I was still a child then.
 14 |   67.560 | Now                |              0 | Now I want to lay them where the / breath of the fire will not reach."
 15 |   71.240 | Then               |              0 | Then the dear nurse Eurycleia answered him:
 16 |   73.940 | Yes                |              0 | "Yes, child — and if only you would / take up the good sense at last
 17 |   77.340 | to                 |              0 | to care for the house and guard all its possessions!
 18 |   80.780 | But                |              0 | But come — who then will fetch / a light and carry it for you,
 19 |   83.480 | if                 |              0 | if the slave-women, who would / have lit you, may not come out?"
 20 |   87.040 | Then               |              0 | Then clear-headed Telemachus answered her:
 21 |   89.460 | this               |              0 | "This stranger here. I will keep no man idle who / takes from my grain-measure, however far he has come."
 22 |   95.840 | So                 |              0 | So he spoke; and for her the word stayed wingless.
 23 |   99.120 | and                |              0 | And she locked the doors of the well-settled halls.
 24 |  102.140 | Then               |              0 | Then the two sprang up, Odysseus and his shining son, / and carried in the helmets and the bossed shields
 25 |  107.880 | and                |              0 | and the sharp-pointed spears; / and before them Pallas Athena,
 26 |  111.160 | holding            |              0 | holding a golden lamp, made a light most beautiful.
 27 |  114.840 | And                |              0 | And suddenly Telemachus said to his father:
 28 |  117.500 | father             |              0 | "Father — here is a great wonder my eyes look on!
 29 |  120.220 | The                |              0 | The walls of the hall — no question — and the fine crossbeams, / the fir rafters, and the pillars rising high
 30 |  126.660 | shine              |              0 | shine in my eyes as if from a blazing fire.
 31 |  129.480 | Surely             |              0 | Surely some god is in the house, / one of those who hold wide heaven."
 32 |  133.560 | Then               |              0 | Then Odysseus of the many designs answered him:
 33 |  136.280 | quiet,             |              0 | "Quiet. Rein in your thought. Ask no questions.
 34 |  139.840 | this               |              0 | This is the way of the gods who hold Olympus.
 35 |  142.580 | Go                 |              0 | Go you to bed. I will remain behind here to stir / the slave-women a little more, and your mother:
 36 |  147.600 | in                 |              0 | in her grief she will ask me about every particular."
 37 |  150.920 | So                 |              0 | So he spoke; and Telemachus went out through the hall / to his chamber, under the blazing torches, to lie down
 38 |  156.440 | where              |              0 | where he always slept when sweet sleep came to him.
 39 |  159.840 | There              |              0 | There he lay down now too, and waited for shining Dawn.
 40 |  162.720 | but                |              0 | But noble Odysseus stayed behind in the hall, / plotting the suitors' slaughter with Athena's help.
 41 |  167.580 | And                |              0 | And out of her chamber came watchful-minded / Penelope, like Artemis, or golden Aphrodite.
 42 |  173.340 | they               |              0 | They set her chair, where she / always sat, beside the fire —
 43 |  177.380 | a                  |              0 | a chair wound round with ivory / and silver, which the craftsman
 44 |  181.320 | once               |              1 | Icmalius once made, and fixed beneath it a footrest
 45 |  185.040 | all                |              0 | all of a piece with it, / where a great fleece would be thrown.
 46 |  189.020 | There              |              0 | There she sat down now, watchful-minded Penelope.
 47 |  192.540 | and                |              0 | And the white-armed slave-women came in from the hall / and cleared away the piles of bread, and the tables,
 48 |  198.340 | and                |              0 | and the cups from which the overbearing men had drunk;
 49 |  201.620 | They               |              0 | they raked the fire from the / braziers to the floor and stacked
 50 |  204.820 | fresh              |              0 | fresh wood upon them, for light and for warmth.
 51 |  208.460 | And                |              0 | And Melantho went at Odysseus a second time:
 52 |  211.460 | Stranger,          |              0 | "Stranger — are you going to plague / us even now, all through the night,
 53 |  215.660 | prowling           |              0 | prowling around the house, spying on the women?
 54 |  218.240 | out                |              0 | Out the door, you wretch — / and be glad of the meal you got —
 55 |  222.180 | or                 |              0 | or you'll go out quick enough / with a torch-brand at your back!"
 56 |  225.820 | Then               |              0 | Then, glaring from under his brows, / Odysseus of the many designs replied:
 57 |  230.740 | woman              |              0 | "Woman possessed — why go for me with a heart so angry?
 58 |  235.060 | Because            |              0 | Because I am dirty, because / the clothes on my body are bad,
 59 |  239.020 | because            |              0 | because I beg through the land? Necessity is on me:
 60 |  242.640 | that               |              0 | that is what beggars and wandering men are like.
 61 |  245.880 | I,                 |              0 | I too once lived in a house among men, a fortunate / man in a wealthy one, and I often gave to a wanderer,
 62 |  252.560 | whoever            |              0 | whoever he might be and whatever need he came in.
 63 |  255.940 | Slaves             |              0 | Slaves I had past counting, and everything in plenty / by which men live well and get the name of rich.
 64 |  262.240 | But                |              0 | But Zeus the son of Cronos stripped it all — / such, no doubt, was his will.
 65 |  266.800 | so                 |              0 | So look to yourself, woman: take care you never lose
 66 |  269.940 | all                |              0 | all that shine of yours, / that sets you off among the slave-women —
 67 |  273.820 | in                 |              0 | in case your mistress turns on you in anger, / or Odysseus comes. For a portion of hope is left.
 68 |  279.820 | And                |              0 | And even if he is dead as you think, and past returning, / by Apollo's grace there is his son by now,
 69 |  286.240 | such               |              0 | such a son — Telemachus. Not one woman in these halls / escapes his eye at her mischief. He is past that age."
 70 |  293.600 | so                 |              0 | So he spoke; and watchful-minded Penelope heard him,
 71 |  297.240 | and                |              0 | and rounded on the handmaid, / and spoke a word, and named her:
 72 |  300.440 | Be                 |              0 | "Be sure of this, bold face, / dog past all shame: your grand
 73 |  304.380 | performance        |              0 | performance is not lost on me — / you will wipe it off on your own head.
 74 |  308.540 | You                |              0 | You knew — every part of it — / you heard it from my own mouth:
 75 |  311.800 | that               |              0 | that I meant to question the stranger in my halls / about my husband, for whom I grieve past telling."
 76 |  317.700 | Then               |              0 | Then she spoke to Eurynome the housekeeper:
 77 |  320.620 | bring              |              1 | "Eurynome, bring up a bench, and a fleece on it, / for the stranger to sit and speak his word and hear me
 78 |  325.860 | out.               |              0 | out: I wish to question him through and through."
 79 |  329.520 | So                 |              0 | So she spoke; and the woman bustled to bring the polished / bench and set it down, and threw a fleece upon it,
 80 |  335.060 | and                |              0 | and there much-enduring noble Odysseus sat.
 81 |  337.280 | And                |              0 | And watchful-minded Penelope began to speak among them:
 82 |  341.160 | Stranger,          |              0 | "Stranger, this first will I myself ask you:
 83 |  344.000 | what               |              0 | What man are you, and from where? / Where are your city and your parents?"
 84 |  348.320 | Then               |              0 | Then Odysseus of the many designs answered her:
 85 |  351.140 | Lady,              |              0 | "Lady, no mortal man on the boundless earth could find / a fault in you: your fame goes up to the wide sky —
 86 |  357.080 | like               |              0 | like the fame of some blameless king, / a god-fearing man ruling among many people and mighty,
 87 |  362.580 | upholding          |              0 | upholding straight judgments; and the black earth bears
 88 |  365.160 | wheat,             |              0 | wheat and barley under him, / and the trees hang heavy with fruit,
 89 |  368.820 | The                |              0 | the flocks throw firm young, the sea yields fish,
 90 |  371.960 | all                |              0 | all from his good governing; / and under him the people flourish.
 91 |  375.620 | So                 |              0 | So — question me now on any / other matter, here in your house,
 92 |  379.020 | but                |              0 | but do not ask my race and my fathers' country, / or you will fill my heart still fuller with pains
 93 |  383.760 | as                 |              0 | as I remember: I am a man of many / sorrows. And there is no need
 94 |  387.920 | to                 |              0 | to sit in a stranger's house grieving and lamenting — / grief without respite makes everything worse —
 95 |  393.660 | And                |              0 | and one of the slave-women might / take offense — or you yourself —
 96 |  397.780 | and                |              0 | and say I swim in tears because / the wine has weighed my wits."
 97 |  401.640 | Then               |              0 | Then watchful-minded Penelope answered him:
