ODYSSEY — BOOK XX full-book caption alignment
Duration: 1271.232s
Narration cues: 303
Source words: 4020
Directly matched source words: 3799 (94.5%)
Recognized words: 4018
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    8.460 | But,               |              0 | But noble Odysseus made his bed in the fore-hall:
  2 |   11.900 | He                 |              0 | he spread an undressed oxhide down, and over it many / fleeces of the sheep the Achaeans kept slaughtering,
  3 |   18.900 | and                |              0 | and Eurynome threw a mantle over him where he lay.
  4 |   22.100 | There              |              0 | There Odysseus lay awake, his heart devising evils / for the suitors; and out of the hall came the women,
  5 |   28.880 | the                |              0 | the ones who all along had been sleeping with the suitors,
  6 |   32.260 | setting            |              0 | setting each other laughing, trading their good cheer.
  7 |   35.620 | And                |              0 | And the heart was roused in his breast, / and he weighed it long in his mind and in his heart —
  8 |   40.960 | whether            |              0 | whether to spring after them and deal out death to each, / or let them mix with the overweening suitors
  9 |   46.360 | one                |              0 | one final and last time. And the heart inside him snarled — / as a bitch standing over her soft-boned pups,
 10 |   53.440 | facing             |              0 | facing a man she does not know, / snarls and is wild to fight:
 11 |   57.360 | so                 |              0 | so his heart snarled within him, / in outrage at their evil doings.
 12 |   61.780 | But                |              0 | But he struck his chest and called his heart to order:
 13 |   64.760 | bear               |              0 | "Bear up, my heart. / A more dog-vile thing you bore than this
 14 |   68.660 | day                |              1 | the day the Cyclops, his force past holding, / ate my brave companions — and you endured it, till cunning
 15 |   74.380 | led                |              0 | led you out of the cave where you thought to die."
 16 |   77.280 | So                 |              0 | So he spoke, reproving the dear heart in his breast; / and his heart, in deep obedience, held fast
 17 |   83.220 | and                |              0 | and endured without a break. But the / man himself turned this way and that.
 18 |   88.140 | as                 |              0 | As when a man before a great blazing fire / turns a paunch packed full of fat and blood
 19 |   93.000 | this               |              0 | this way and that, longing to have it roasted quickly, / so he rolled from side to side, turning over
 20 |   98.820 | how                |              0 | how he could lay his hands on the shameless suitors, / one man against so many. And Athena came close to him,
 21 |  105.460 | down               |              0 | down from the sky; and in body she was like a woman; / and she stood above his head and spoke to him:
