ODYSSEY — BOOK XXI full-book caption alignment
Duration: 1373.568s
Narration cues: 334
Source words: 4515
Directly matched source words: 4286 (94.9%)
Recognized words: 4521
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.600 | And                |              0 | And now the goddess put it in her mind — gray-eyed Athena,
  2 |   10.420 | in                 |              0 | in the mind of Icarius' daughter, / watchful-minded Penelope —
  3 |   14.220 | to                 |              0 | to set before the suitors the bow and the gray iron
  4 |   16.780 | in                 |              0 | in the halls of Odysseus: the contest, / and the beginning of the slaughter.
  5 |   21.480 | She                |              0 | She climbed the high stairway of her house / and took the bent key in her strong hand —
  6 |   26.020 | a                  |              0 | a beautiful key of bronze, with an ivory handle — / and went her way with her attendant women
  7 |   31.100 | to                 |              0 | to the last storeroom. There the master's treasures lay:
  8 |   34.980 | bronze             |              0 | bronze, and gold, and iron wrought with labor.
  9 |   38.160 | And                |              0 | And there lay the backsprung bow, and the quiver for / the arrows, with many groan-laden shafts inside —
 10 |   44.060 | gifts              |              0 | gifts that a guest-friend gave / him when they met in Lacedaemon:
 11 |   47.380 | son,               |              2 | Iphitus, Eurytus' son, a man like the immortals.
 12 |   50.960 | The                |              0 | The two had crossed paths in Messene, / in the house of thoughtful Ortilochus. Odysseus
 13 |   55.760 | had                |              0 | had come to collect a debt the whole people owed him:
 14 |   58.500 | Men                |              2 | for Messenian men had lifted sheep out of Ithaca —
 15 |   61.340 | with               |              2 | three hundred, with their herdsmen — / in their many-benched ships.
 16 |   64.860 | For                |              0 | For their sake Odysseus came that long road on embassy,
 17 |   68.100 | a                  |              0 | a boy still, sent out by his father and the other elders.
 18 |   71.600 | And                |              0 | And Iphitus came hunting horses — twelve mares he had lost, / with hard-working mules at suck beneath them —
 19 |   77.780 | The                |              0 | the same mares that afterward became his death and doom, / when he came to the strong-hearted son of Zeus,
 20 |   82.840 | the                |              0 | the man Heracles, that expert in great deeds, / who killed him — a guest in his own house.
 21 |   88.620 | Ruthless,          |              0 | Ruthless: no shame before the gods' / watching eye, nor for the table
 22 |   91.940 | he                 |              0 | he himself had set the man; he killed him even so, / and kept the strong-hoofed mares in his own halls.
 23 |   97.920 | Asking             |              0 | Asking after these, Iphitus met / Odysseus, and gave him the bow
 24 |  101.540 | that               |              0 | that great Eurytus carried in the old days, / and left to his son at his death in the high house.
 25 |  106.780 | And                |              0 | And Odysseus gave him a sharp sword and a strong spear —
 26 |  110.260 | [manual timestamp] |             10 | the start of a binding friendship; but they never knew
 27 |  112.640 | before             |              3 | each other's tables: before that, the son of Zeus killed / Iphitus, Eurytus' son, that man like the immortals,
 28 |  119.440 | who                |              0 | who gave the bow. And noble Odysseus never took / it with him going to war in the black ships:
 29 |  124.660 | It                 |              0 | it stood in his halls at home, a memorial of a / beloved guest-friend; on his own land he carried it.
 30 |  130.280 | And                |              0 | And when she reached that storeroom, / the shining among women,
 31 |  133.480 | and                |              0 | and stepped up on the oak threshold — which a / carpenter once planed with skill and trued to the line,
 32 |  138.860 | and                |              0 | and fixed the doorposts in it, / and hung the shining doors —
 33 |  142.180 | At                 |              0 | at once she quickly loosed the thong from the hook, / slid in the key, and shot back the bolts of the doors
 34 |  147.140 | with               |              0 | with a straight thrust. And they bellowed like a bull / at pasture in a meadow — so loud the beautiful doors
 35 |  152.900 | bellowed           |              0 | bellowed at the key's stroke; / and they flew open before her.
 36 |  156.140 | She                |              0 | She stepped up onto the high floor, where the chests / stood full of clothing laid away in fragrance.
 37 |  161.620 | Reaching           |              0 | Reaching up from there she took the bow off its peg, / bright in the bow-case that enclosed it.
 38 |  165.980 | with               |              0 | With the case on her knees,
 39 |  167.580 | and                |              0 | and wept aloud, and shrill, and drew out the master's bow.
 40 |  171.500 | And                |              0 | And when she had taken her fill of tear-heavy mourning, / she went her way to the hall, to the lordly suitors,
 41 |  176.860 | holding            |              0 | holding in her hand the backsprung bow and the quiver / for the arrows, with many groan-laden shafts inside;
 42 |  183.180 | And                |              0 | and beside her handmaids carried the box where the iron
 43 |  185.580 | lay                |              0 | lay in plenty, and the bronze: / the master's gear of contest.
 44 |  189.480 | And                |              0 | And when she reached the suitors, shining among women, / she stood beside the pillar of the close-built roof,
 45 |  195.220 | holding            |              0 | holding her glistening veil before her cheeks, / a trusted handmaid standing on either side,
 46 |  200.000 | and                |              0 | and spoke at once among the suitors, and said her word:
 47 |  203.300 | Hear               |              0 | "Hear me, you lordly suitors, / who have fastened on this house
 48 |  206.220 | to                 |              0 | to eat and drink your way through it without ever a pause,
 49 |  209.420 | master             |              1 | its master long gone; nor could you offer any / other excuse in all this time, any word at all,
 50 |  216.100 | except             |              0 | except your lust to marry me and take me to wife.
 51 |  218.940 | Well               |              0 | Well then, you suitors — come: / here stands your prize before you.
 52 |  223.680 | I                  |              0 | I set out the great bow of godlike Odysseus.
 53 |  226.660 | whoever            |              0 | Whoever strings the bow most easily in his hands / and shoots an arrow through all twelve axes —
 54 |  231.740 | him                |              0 | him I will follow, forsaking this house, this house / of my marriage, this beautiful house, full of all
 55 |  238.000 | that               |              0 | that sustains life. I think I shall / remember it even in my dreams."
 56 |  242.620 | So                 |              0 | So she spoke, and told Eumaeus, the noble swineherd, / to set the bow before the suitors, and the gray iron.
 57 |  249.300 | In                 |              0 | In tears Eumaeus took them and laid them down;
 58 |  252.340 | and                |              0 | and the cowherd wept on his side, / when he saw the master's bow.
 59 |  256.560 | and                |              0 | And Antinous rebuked them, / and spoke a word, and named them:
 60 |  260.060 | Idiot              |              0 | "Idiot rustics! — brains that stop at the day's end!
 61 |  263.960 | wretched           |              0 | Wretched pair, why are you / streaming tears, and stirring up
 62 |  266.780 | the                |              0 | the heart in the woman's breast? / Her heart lies deep enough
 63 |  269.900 | grief              |              1 | in grief already, since she lost her dear husband.
 64 |  273.480 | Sit                |              0 | Sit and feast in silence — or take your bawling outside, / the two of you, and leave the bow right here,
 65 |  279.460 | a                  |              0 | a trial for the suitors none will / slip through: for I do not think
 66 |  282.920 | this               |              0 | this polished bow is going to be strung with ease.
 67 |  285.760 | There              |              0 | There is no man in this whole company / such as Odysseus was. I saw him myself —
 68 |  290.840 | I                  |              0 | I remember it well — though I was still a witless child."
 69 |  294.100 | So                 |              0 | So he spoke; but the heart in his breast was hoping / that he would string the bow and shoot through the iron.
 70 |  299.740 | In                 |              0 | In fact he was to be the first to taste an arrow
 71 |  302.040 | from               |              0 | from the hands of blameless Odysseus — / the man he was dishonoring
 72 |  305.820 | that               |              0 | that moment, sitting in his hall, / and egging on all his companions.
 73 |  310.060 | and                |              0 | And the sacred strength of Telemachus spoke among them:
 74 |  313.600 | Ah,                |              0 | "Ah — Zeus the son of Cronos has made me witless!
 75 |  316.760 | My                 |              0 | My own dear mother — sensible as she is — declares / she will follow another man and forsake this house;
 76 |  322.120 | and                |              0 | and I laugh, and enjoy it, with my witless heart.
 77 |  324.800 | Come               |              0 | Come then, you suitors — since here stands your prize:
 78 |  328.660 | a                  |              0 | a woman whose like there is not now in all Achaea, / not in holy Pylos, not in Argos or Mycenae,
 79 |  334.540 | not                |              0 | not on Ithaca itself, not on the dark mainland —
 80 |  337.140 | but                |              0 | but you know that yourselves. / Why should I praise my mother?
 81 |  340.700 | Come,              |              0 | Come — no dodges, no dragging it out; no more hanging / back from the stringing of the bow. Let us see it!
 82 |  346.340 | and                |              0 | And I myself might make a trial of the bow as well:
 83 |  349.160 | For                |              0 | for if I string it, and shoot through the iron, / then it would be no grief to me that my honored mother
 84 |  353.560 | should             |              0 | should leave this house and follow / another man — since I would stay behind
 85 |  357.420 | man                |              0 | man enough at last to lift my father's beautiful prizes."
 86 |  360.860 | He                 |              0 | He spoke, and flung the crimson cloak from his shoulders,
 87 |  363.960 | rising             |              0 | rising to his full height, and put / off the sharp sword from his shoulder.
 88 |  367.920 | First              |              0 | First he set up the axes, digging one long / trench for all of them, trued to a line,
 89 |  372.980 | and                |              0 | and stamped the earth firm round them. / Amazement took every man
 90 |  376.080 | who                |              0 | who watched — how squarely he set them, / who had never seen it before.
 91 |  380.660 | Then               |              0 | Then he went and stood on the / threshold and began to try the bow.
 92 |  384.720 | Three              |              0 | Three times he set it shaking, hot to draw it home;
 93 |  388.120 | Three              |              0 | three times he eased his force, hoping still in his / heart to string the cord and shoot through the iron.
 94 |  393.940 | And                |              0 | And now, hauling a fourth time, / his strength would have strung it —
 95 |  397.380 | but                |              0 | but Odysseus shook his head, / and checked him, keen as he was.
