ODYSSEY — BOOK XXII full-book caption alignment
Duration: 1580.112s
Narration cues: 384
Source words: 5056
Directly matched source words: 4819 (95.3%)
Recognized words: 5093
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    4.280 | but                |              0 | But he stripped himself of his rags, / Odysseus of the many designs,
  2 |    9.060 | and                |              0 | and leapt to the great threshold with the bow and the / quiver full of arrows, and poured out the swift shafts
  3 |   15.080 | there              |              0 | there at his feet, and spoke among the suitors:
  4 |   18.660 | So,                |              0 | "So: that contest-past-all-contest is accomplished.
  5 |   22.100 | Now                |              0 | Now for another mark — one no man has ever hit —
  6 |   25.480 | and                |              0 | and I shall know if I strike it: / if Apollo gives me that glory."
  7 |   29.000 | He                 |              0 | He spoke, and leveled the bitter arrow at Antinous.
  8 |   32.580 | and                |              0 | And he — he was that instant lifting a beautiful cup, / a golden one, two-eared, turning it in his hands
  9 |   39.160 | to                 |              0 | to drink the wine; and slaughter was not in his thoughts:
 10 |   42.920 | for                |              0 | for who would think, among men at dinner, that one man / in the middle of many — however strong he might be —
 11 |   49.140 | would              |              0 | would bring on him foul death and the black doom?
 12 |   52.060 | But                |              0 | But Odysseus took aim at his throat, and shot, / and the point went clean on through the soft of the neck.
 13 |   57.700 | He                 |              0 | He sagged to one side; the cup dropped out of his / hand as the arrow hit; and at once a thick jet came
 14 |   63.820 | up                 |              0 | up through his nostrils — / human blood; and quick, with a kick,
 15 |   68.180 | he                 |              0 | he shoved the table from him and / spilled the food to the floor:
 16 |   71.340 | the                |              0 | the bread and the roast meats / fouled in it. And the suitors
 17 |   74.940 | broke              |              0 | broke into uproar through the / house when they saw the man fallen;
 18 |   78.760 | Up                 |              0 | up from their chairs they started, / driven through the hall,
 19 |   81.940 | eyes               |              0 | eyes darting every way along the well-built walls —
 20 |   84.200 | and                |              0 | and nowhere was there a shield or a strong spear to seize.
 21 |   87.760 | and                |              0 | And they raged at Odysseus with words of fury:
 22 |   91.060 | stranger           |              0 | "Stranger, you shoot at men — / and it will cost you! No more contests
 23 |   94.640 | for                |              0 | for you: now your own sheer destruction is certain.
 24 |   98.000 | the                |              0 | The man you have killed was the / very noblest of the young men
 25 |  100.900 | of                 |              0 | of Ithaca. For this the vultures will eat you — here."
 26 |  104.900 | so                 |              0 | So each man guessed: for indeed they thought he had killed
 27 |  107.760 | the                |              0 | the man unwilling. The fools — they had not seen it yet:
 28 |  111.180 | that               |              0 | that on every one of them the / cords of death were fastened.
 29 |  114.160 | then               |              0 | Then, glaring from under his brows, / Odysseus of the many designs replied:
 30 |  118.220 | you                |              0 | "You dogs! You kept on saying / I would never come home again
 31 |  121.280 | out                |              0 | out of the land of Troy: and so you sheared away / my house, and lay with my slave-women by force,
 32 |  127.120 | and                |              0 | and courted my own wife while I was still alive, / fearing neither the gods who hold wide heaven
 33 |  132.060 | nor                |              0 | nor any vengeance of men, to come hereafter.
 34 |  135.240 | now                |              0 | Now on you — on all of you — / the cords of death are fastened."
 35 |  139.320 | so                 |              0 | So he spoke; and the pale terror took hold of them all,
 36 |  142.540 | and                |              0 | and every man peered round for a / way to escape sheer destruction.
 37 |  146.380 | only               |              0 | Only Eurymachus found words, and answered him:
 38 |  149.580 | if                 |              0 | "If you are truly Odysseus of Ithaca, come home again,
 39 |  153.120 | then               |              0 | then all you say is just — all the Achaeans have done,
 40 |  156.300 | reckless           |              0 | reckless things in plenty in the hall, / in plenty on the land.
 41 |  159.600 | but                |              0 | But there he lies — the man to blame for everything:
 42 |  162.620 | he                 |              1 | Antinous. He was the one who set these doings on — / not so much needing the marriage, or wanting it,
 43 |  167.980 | but                |              0 | but with another purpose, / which the son of Cronos never granted:
 44 |  171.780 | to                 |              0 | to be king himself in the land of well-built / Ithaca, and to ambush your son and kill him.
 45 |  176.840 | now                |              0 | Now he is killed, as was his portion. You — spare your own
 46 |  181.020 | people,            |              0 | people; and we hereafter, making it good through the land, / all that has been drunk and eaten in your halls,
 47 |  186.920 | each               |              0 | each of us bringing a payment of twenty oxen's worth, / will pay you back in bronze and gold, until your heart
 48 |  192.560 | is                 |              0 | is warmed. Till then, no one could blame your anger."
 49 |  196.080 | then               |              0 | Then, glaring from under his brows, / Odysseus of the many designs replied:
 50 |  200.280 | not                |              1 | "Eurymachus — not if you handed over all your patrimonies,
 51 |  203.560 | everything         |              0 | everything you now have, and added more from elsewhere,
 52 |  206.480 | not                |              0 | not even so would I hold my hands back from the killing / before the suitors had paid for the whole trespass.
 53 |  212.180 | now                |              0 | Now the choice lies before you: fight me face to face, / or run — whoever can slip his death and doom.
 54 |  218.440 | but                |              0 | But I do not think one man of / you escapes sheer destruction."
 55 |  221.980 | and                |              0 | And their knees went slack where / they stood, and their hearts.
 56 |  225.960 | and                |              0 | And Eurymachus called out among them a second time:
 57 |  228.920 | friends,           |              0 | "Friends — this man will not / now hold his invincible hands.
 58 |  232.660 | he                 |              0 | He has the polished bow and the quiver: he will shoot / from the smooth threshold until he has killed us all.
 59 |  239.520 | then               |              0 | Then let our minds be on battle! Draw your swords, / put up the tables against the arrows of quick death,
 60 |  245.880 | and                |              0 | and let us all go at him in one body — see if we can / shove him off the threshold and out of the doors,
 61 |  252.120 | then               |              0 | then through the town, and the alarm raised at once!
 62 |  255.360 | then               |              0 | Then this man would soon have shot his last."
 63 |  258.160 | So                 |              0 | So speaking, he drew his sharp sword, / bronze, two-edged, and leapt at him
 64 |  262.760 | with               |              0 | with a blood-freezing yell. / But in the same instant noble Odysseus
 65 |  266.620 | let                |              0 | let the arrow fly, and struck his chest beside the nipple,
 66 |  270.280 | and                |              0 | and drove the swift shaft into his liver. Out of his hand
 67 |  273.500 | the                |              0 | the sword dropped to the ground; he doubled over the table
 68 |  276.360 | and                |              0 | and crumpled, sprawling across it, / and spilled the food to the floor
 69 |  280.480 | and                |              0 | and the two-eared cup. His forehead beat the / earth in his heart's agony; both feet kicked out,
 70 |  286.640 | rattling           |              0 | rattling the chair; and the / mist poured down over his eyes.
 71 |  290.300 | Then               |              0 | Then Amphinomus went for glorious Odysseus, / charging him head-on, his sharp sword drawn,
 72 |  296.040 | to                 |              0 | to see if he might give way from the doors. But Telemachus
 73 |  299.140 | was                |              0 | was too quick: he caught him / from behind with the bronze spear
 74 |  302.780 | square             |              0 | square between the shoulders, / and drove it through his chest,
 75 |  305.740 | and                |              0 | and he fell with a crash, and struck / the ground full with his forehead.
 76 |  310.100 | And                |              0 | And Telemachus sprang back, / leaving the long-shadowed spear
 77 |  313.300 | there              |              0 | there in Amphinomus: for he feared that as he pulled / the long spear out, some Achaean might rush in
 78 |  318.720 | and                |              0 | and cut him with a sword, or strike him as he stooped.
 79 |  322.040 | He                 |              0 | He ran, and came quickly to his dear father, / and standing close he spoke winged words:
 80 |  327.480 | father,            |              0 | "Father — now I will bring you a shield and two spears / and a helmet all of bronze, fitted to your temples;
 81 |  332.740 | and                |              0 | and I will arm myself as I go, and give the swineherd / the same, and the cowherd. Armored is better."
 82 |  339.580 | Then               |              0 | Then Odysseus of the many designs answered him:
 83 |  342.380 | run,               |              0 | "Run — bring them, while I / still have arrows to fight with,
 84 |  344.920 | or                 |              0 | or they will force me from the doors, one man alone."
 85 |  348.220 | So                 |              0 | So he spoke; and Telemachus obeyed his dear father
 86 |  351.480 | and                |              0 | and went to the storeroom where / the famous arms were lying.
 87 |  354.400 | He                 |              0 | He took out four shields, and eight spears, / and four bronze helmets thick with horsehair,
 88 |  359.560 | and                |              0 | and came carrying them fast to his dear father.
 89 |  362.160 | He                 |              0 | He girded the bronze on his own body first, / and in the same way the two slaves put on the fine armor,
 90 |  367.540 | and                |              0 | and they took their stand around Odysseus — / the deep mind, the shifting counsels.
 91 |  372.040 | and                |              0 | And he, so long as he had arrows to fight with, / kept aiming, and dropping suitors in his own house,
 92 |  378.180 | one                |              0 | one man after another: they fell in heaps.
 93 |  380.780 | but                |              0 | But when the arrows failed the master archer,
 94 |  383.180 | he                 |              0 | he leaned the bow against the / doorpost of the strong-built hall,
 95 |  386.320 | and                |              8 | to stand there by the shining entrance-wall, / and threw about his shoulders a shield of four hides,
 96 |  392.280 | and                |              0 | and set on his mighty head a well-made helmet, / horsehair-crested, the plume nodding terror from the top,
 97 |  398.220 | and                |              0 | and took up two strong spears, headed with bronze.
 98 |  401.560 | Now                |              0 | Now there was a raised side-door in the well-built wall,
 99 |  404.660 | and                |              0 | and level with the top of the threshold of the strong hall
100 |  407.340 | exit               |              1 | an exit to a passage, closed with well-fitted boards.
101 |  411.580 | Odysseus           |              0 | Odysseus set the noble swineherd to watch it, / posted close: it was the single way out.
102 |  416.600 | and                |              0 | And Agelaus spoke to them all, / putting the word to everyone:
103 |  420.520 | Friends            |              0 | "Friends — could not someone climb through the side-door
104 |  422.960 | and                |              0 | and get word to the people, / and the alarm be raised at once?
105 |  426.300 | then               |              0 | Then this man would soon have shot his last."
106 |  428.960 | Then               |              0 | Then Melanthius the goatherd answered him:
107 |  431.240 | no                 |              0 | "No way, Agelaus, Zeus-nurtured: / the fine gates of the courtyard
108 |  434.900 | are                |              0 | are terribly near, and the mouth of the passage is cruel:
109 |  438.100 | one                |              0 | one man could hold it against all comers — / any man with strength in him.
110 |  442.420 | No,                |              0 | No — wait: let me bring you armor from the storeroom
111 |  445.340 | to                 |              0 | to harness you. For it is in there, / I am certain — nowhere else —
112 |  449.000 | that               |              0 | that Odysseus and his shining son have stowed the arms."
113 |  452.740 | So                 |              0 | So speaking, Melanthius the goatherd climbed up
114 |  455.260 | through            |              0 | through the smoke-vents of the / hall to the storerooms of Odysseus,
115 |  459.020 | and                |              0 | and took out twelve shields, as many spears, / as many bronze helmets thick with horsehair,
116 |  464.360 | and                |              0 | and came back fast and gave them to the suitors.
117 |  467.660 | And                |              0 | And then the knees of Odysseus went slack, and his heart,
118 |  470.700 | when               |              0 | when he saw them buckling on the armor and brandishing
119 |  473.460 | the                |              0 | the long spears in their hands: / the work now looked great to him.
120 |  477.700 | And                |              0 | And quickly he spoke winged words to Telemachus:
121 |  480.600 | one                |              1 | "Telemachus — one of the women in the halls is stoking / the evil war against us — that, or it is Melanthius."
122 |  487.120 | Then               |              0 | Then clear-headed Telemachus answered him:
123 |  489.520 | father,            |              0 | "Father, the fault is mine — my own, no other's — / I left the storeroom's close-fitted door
124 |  494.720 | standing           |              0 | standing ajar. Their lookout was sharper than I was.
125 |  497.720 | go                 |              0 | Go, noble Eumaeus: close the storeroom door, / and find out whether it is one of the women doing this,
126 |  503.940 | or                 |              0 | or Dolius' son Melanthius — he is the one I think it is."
127 |  508.160 | So                 |              0 | So they spoke to one another of such things.
128 |  510.520 | and                |              0 | And Melanthius the goatherd went again to the storeroom
129 |  513.480 | to                 |              0 | to bring out more fine armor. / But the noble swineherd marked him,
130 |  517.720 | and                |              0 | and quickly said to Odysseus, standing near:
131 |  520.700 | Zeus               |              0 | "Zeus-born son of Laertes, Odysseus of the many devices —
132 |  524.840 | there              |              0 | there he goes again, that ruinous man, the one we guessed:
133 |  528.600 | into               |              0 | into the storeroom. Tell me straight out:
134 |  530.740 | do                 |              0 | do I kill him — if I prove the better man — / or bring him here to you, to pay for the trespasses,
135 |  536.540 | the                |              0 | the many, that man has schemed in your house?"
136 |  539.060 | Then               |              0 | Then Odysseus of the many designs answered him:
137 |  542.000 | I                  |              0 | "I and Telemachus will hold the lordly suitors / penned inside the hall, rage as they may.
138 |  547.660 | You                |              0 | You two: twist his feet and hands behind him, / throw him into the storeroom, tie boards fast at his back,
139 |  554.000 | make               |              0 | make a braided rope fast to him, and haul him / up the tall pillar, up close to the roof-beams —
140 |  559.060 | so                 |              0 | so that he lives on a long while, suffering hard pains."
141 |  562.360 | So                 |              0 | So he spoke; and they listened well and obeyed:
142 |  564.680 | they               |              0 | they went to the storeroom — / the man inside did not see them —
143 |  568.080 | and                |              0 | and there he was, hunting armor in the room's far corner,
144 |  571.580 | while              |              0 | while the two of them stood waiting / either side of the doorposts.
145 |  575.080 | And                |              0 | And as Melanthius the goatherd came over the threshold, / in one hand carrying a beautiful helmet,
146 |  580.240 | the                |              1 | in the other a broad shield, / an old one, mottled with mildew —
147 |  584.120 | the                |              0 | the hero Laertes' shield, / which he carried in his young days,
148 |  587.660 | long               |              0 | long since laid by, / the stitches of its straps rotted out —
149 |  590.820 | the                |              0 | the two of them sprang and seized him, / and dragged him in by the hair,
150 |  594.480 | and                |              0 | and threw him to the floor for all his anguish of heart,
151 |  597.280 | and                |              0 | and bound his feet and hands with a heart-grieving knot,
152 |  599.980 | wrenched           |              0 | wrenched hard behind him, through and through, / as ordered by Laertes' son, much-enduring noble Odysseus;
153 |  605.840 | then               |              0 | then they made a braided rope fast to him, and hauled / him up the tall pillar, up close to the roof-beams.
154 |  611.380 | and                |              0 | And taunting him you spoke, Eumaeus the swineherd:
