ODYSSEY — BOOK XXIII full-book caption alignment
Duration: 1198.872s
Narration cues: 291
Source words: 3914
Directly matched source words: 3763 (96.1%)
Recognized words: 3931
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    7.060 | and                |              0 | And the old woman climbed to / the upper room, laughing aloud,
  2 |   11.380 | to                 |              0 | to tell her mistress that her own / dear husband was in the house;
  3 |   14.680 | Her                |              0 | her knees were pumping fast, her feet stumbled with hurry.
  4 |   18.300 | She                |              0 | She stood over Penelope's head and spoke to her:
  5 |   21.820 | Wake               |              0 | "Wake, Penelope, dear child — so you can see with / your own eyes what you have longed for all your days!
  6 |   27.500 | Odysseus           |              0 | Odysseus is here — he has come home — however late.
  7 |   31.100 | And                |              0 | And he has killed the lordly suitors, the men who plagued
  8 |   33.720 | his                |              0 | his house, and ate his goods, and bullied his son."
  9 |   37.400 | Then               |              0 | Then watchful-minded Penelope answered her:
 10 |   39.900 | Dear               |              0 | "Dear nurse, the gods have made you mad. The gods / can strike even the full of sense to foolishness,
 11 |   46.000 | and                |              0 | and set the empty-headed on the road of wisdom:
 12 |   48.400 | They               |              0 | they have unstrung you. Your mind was straight before.
 13 |   51.860 | Why                |              0 | Why do you mock me, when my heart is all one grief, / telling wild tales — and shake me out of the sleep,
 14 |   58.000 | the                |              0 | the sweet sleep that had bound me, / folding my eyelids under?
 15 |   61.820 | I                  |              0 | I have not slept so sound since the day Odysseus / went to look on Evil-Ilium, never to be named.
 16 |   67.540 | Go                 |              0 | Go on — down with you now, back to the hall.
 17 |   71.000 | If                 |              0 | If any other of my women had come to me with / news like this, and shaken me out of sleep,
 18 |   75.560 | I                  |              0 | I would soon have sent her packing back to the hall
 19 |   77.640 | and                |              0 | and roughly. You — your old / age spares you that, at least."
 20 |   81.860 | Then               |              0 | Then the dear nurse Eurycleia answered her:
 21 |   84.180 | I                  |              0 | "I do not mock you, dear child. It is true:
 22 |   87.160 | Odysseus           |              0 | Odysseus is here — he has come home, just as I tell you —
 23 |   90.520 | the                |              0 | the stranger, the one they all dishonored in the hall.
 24 |   93.700 | Telemachus         |              0 | Telemachus knew long since that he was here, / but kept his father's purposes hidden, cool of head,
 25 |   98.900 | till               |              0 | till he should punish the violence / of those overbearing men."
 26 |  102.340 | So                 |              0 | So she spoke; and Penelope, all joy, sprang out of bed
 27 |  105.900 | and                |              0 | and clung to the old woman, / tears spilling from her eyelids,
 28 |  109.400 | and                |              0 | and lifting her voice she spoke winged words to her:
 29 |  112.220 | Come               |              0 | "Come then, dear nurse — tell me truly:
 30 |  114.340 | if                 |              0 | if he has really come home, as you say he has, / how did he lay his hands on the shameless suitors —
 31 |  119.480 | one                |              0 | one man alone, when they were always in there in a pack?"
 32 |  122.740 | Then               |              0 | Then the dear nurse Eurycleia answered her:
