# Book 2 performance pronunciations for the Fable narration.
Achaeans	uh-KEE-unz
Achaea	uh-KEE-uh
Aegyptius	ee-JIP-tee-us
Alcmene	alk-MEE-nee
Antinous	an-TIN-oh-us
Antiphus	AN-tih-fus
Athena	uh-THEE-nuh
Cyclops	SY-klops
Ephyra	EF-ih-ruh
Eurycleia	yoo-rih-KLEE-uh
Eurymachus	yoo-RIM-uh-kus
Eurynomus	yoo-RIN-oh-mus
Evenor	eh-VEE-nor
Halitherses	hal-ih-THUR-seez
Icarius	ih-KAIR-ee-us
Ilium	IL-ee-um
Ithaca	ITH-uh-kuh
Laertes	LAY-air-teez
Leocritus	lee-OK-rih-tus
Mastor	MAS-tor
Mentor	MEN-tor
Mycene	my-SEE-nee
Noemon	noh-EE-mon
Odysseus	oh-DISS-ee-us
Ops	OPS
Pallas	PAL-us
Peisenor	py-SEE-nor
Penelope	puh-NEL-uh-pee
Phronius	FROH-nee-us
Polybus	POL-ih-bus
Pylos	PIE-loss
Sparta	SPAR-tuh
Telemachus	tuh-LEM-uh-kus
Themis	THEM-is
Tyro	TIE-roh
Zeus	ZOOS
