# Book 3 performance pronunciations for the Fable narration.
Achaeans	uh-KEE-uhnz
Aegisthus	ee-JIS-thuhs
Agamemnon	ag-uh-MEM-non
Alpheus	al-FEE-uhs
Amphitrite	am-fih-TRY-tee
Antilochus	an-TIL-oh-kuhs
Aretus	uh-REE-tuhs
Athena	uh-THEE-nuh
Cauconians	kaw-KOH-nee-uhnz
Chios	KYE-oss
Clymenus	KLIM-uh-nuhs
Clytemnestra	kly-tem-NES-truh
Cydonians	sih-DOH-nee-uhnz
Diocles	DYE-oh-kleez
Diomedes	dye-oh-MEE-deez
Echephron	eh-KEF-ron
Euboea	yoo-BEE-uh
Eurydice	yoo-RID-ih-see
Geraestus	juh-REE-stuhs
Gortyn	GOR-tin
Helios	HEE-lee-ohs
Iardanus	ee-AR-duh-nuhs
Idomeneus	eye-DOM-uh-nyoos
Lacedaemon	las-uh-DEE-mun
Laerces	lay-UR-seez
Lesbos	LEZ-boss
Malea	muh-LEE-uh
Menelaus	men-uh-LAY-uhs
Mimas	MY-muhs
Myrmidons	MUR-mih-donz
Neion	NEE-on
Neleus	NEE-lee-uhs
Nestor	NES-tor
Odysseus	oh-DISS-ee-uhs
Onetor	oh-NEE-tor
Orestes	oh-RES-teez
Ortilochus	or-TIL-oh-kuhs
Peisistratus	pie-SIS-truh-tuhs
Perseus	PUR-see-uhs
Phaestus	FEE-stuhs
Pherae	FEE-ree
Philoctetes	fil-ok-TEE-teez
Phrontis	FRON-tis
Poias	POH-yuhs
Polycaste	pol-ih-KAS-tee
Poseidon	puh-SYE-dun
Psyria	SYE-ree-uh
Pylos	PIE-loss
Stratius	STRAT-ee-uhs
Sunium	SOO-nee-uhm
Telemachus	tuh-LEM-uh-kuhs
Tenedos	TEN-uh-doss
Thrasymedes	thras-ih-MEE-deez
Tritogeneia	try-toh-juh-NYE-uh
Tydeus	TYE-dee-uhs
Zeus	ZOOS
