# Odyssey index — anglicized pronunciations. Format: headword <TAB> say <TAB> variant(optional)
# House style: see index/pron-key.md. CAPS = primary stress; uh = schwa.
# Lines starting with # are ignored. Transparent English names are intentionally absent.
Achaea	uh-KEE-uh
Achaeans	uh-KEE-unz
Acheron	AK-uh-ron
Achilles	uh-KIL-eez
Actoris	ak-TOR-is
Adreste	uh-DRES-tee
Aeaea	ee-EE-uh	ay-EE-uh
Aeetes	ee-EE-teez
Aegae	EE-jee
Aegisthus	ee-JIS-thus
Aegyptius	ee-JIP-tee-us
Aeolus	EE-oh-lus
Aeson	EE-son
Aethon	EE-thon
Aetolians	ee-TOH-lee-unz
Agamemnon	ag-uh-MEM-non
Agelaus	aj-uh-LAY-us
Ajax	AY-jaks
Alcandre	al-KAN-dree
Alcimus	AL-sih-mus
Alcinous	al-SIN-oh-us
Alcippe	al-SIP-ee
Alcmaeon	alk-MEE-on
Alcmene	alk-MEE-nee
Alector	uh-LEK-tor
Aloeus	uh-LEE-us	al-OH-yoos
Alpheus	al-FEE-us	AL-fee-us
Alybas	AL-ih-bas
Amnisus	am-NY-sus
Amphiaraus	am-fee-uh-RAY-us
Amphilochus	am-FIL-oh-kus
Amphimedon	am-FIM-uh-don
Amphinomus	am-FIN-oh-mus
Amphion	am-FY-on
Amphithea	am-FITH-ee-uh
Amphitrite	am-fih-TRY-tee
Amphitryon	am-FIT-ree-on
Amythaon	am-ih-THAY-on
Andraemon	an-DREE-mon
Anticleia	an-tih-KLEE-uh	an-tih-KLY-uh
Anticlus	AN-tih-klus
Antilochus	an-TIL-oh-kus
Antinous	an-TIN-oh-us
Antiope	an-TY-oh-pee
Antiphates	an-TIF-uh-teez
Antiphus	AN-tih-fus
Apeire	uh-PY-ree
Apheidas	uh-FY-das
Aphrodite	af-roh-DY-tee
Apollo	uh-POL-oh
Arceisius	ar-SEE-see-us
Ares	AIR-eez
Arete	uh-REE-tee
Arethusa	a-ruh-THOO-zuh
Aretus	uh-REE-tus
Argives	AR-jyvz	AR-gyvz
Argo	AR-goh
Argos	AR-gos
Argus	AR-gus
Ariadne	a-ree-AD-nee
Arnaeus	ar-NEE-us
Artacia	ar-TAY-shee-uh
Artemis	AR-tuh-mis
Arybas	AR-ih-bas
Asopus	uh-SOH-pus
Asphalion	as-FAL-ee-on
Asteris	AS-tuh-ris
Athena	uh-THEE-nuh
Atlas	AT-lus
Atreus	AY-tree-us	AY-troos
Autolycus	aw-TOL-ih-kus
Autonoe	aw-TON-oh-ee
Boethous	boh-EE-thoh-us
Cadmeians	kad-MEE-unz
Cadmus	KAD-mus
Calypso	kuh-LIP-soh
Cassandra	kuh-SAN-druh
Castor	KAS-tor
Cauconians	kaw-KOH-nee-unz
Centaurs	SEN-tawrz
Cephallenians	sef-uh-LEE-nee-unz
Chalcis	KAL-sis
Charybdis	kuh-RIB-dis
Chios	KY-os	KEE-os
Chloris	KLOR-is
Chromius	KROH-mee-us
Cicones	sih-KOH-neez
Cimmerians	sih-MEER-ee-unz
Circe	SUR-see
Cleitus	KLY-tus
Clymene	KLIM-uh-nee	kly-MEE-nee
Clymenus	KLIM-uh-nus
Clytemnestra	kly-tem-NES-truh
Clytius	KLIT-ee-us
Clytoneus	kly-TOH-nee-us
Cnossus	NOS-us	kuh-NOS-us
Cocytus	koh-SY-tus
Crataiis	kruh-TAY-is
Creon	KREE-on
Cretheus	KREE-thee-us
Cronos	KROH-nos
Crouni	KROO-nee
Ctesippus	tih-SIP-us
Ctesius	TEE-see-us
Ctimene	TIM-uh-nee
Cyclopes	sy-KLOH-peez
Cydonians	sih-DOH-nee-unz
Cyllene	sih-LEE-nee
Cythera	sih-THEER-uh
Damastor	duh-MAS-tor
Danaans	DAN-ay-unz	DAN-uh-unz
Deiphobus	dee-IF-oh-bus
Delos	DEE-los
Demeter	dih-MEE-tur
Demodocus	dih-MOD-oh-kus
Demoptolemus	dee-mop-TOL-uh-mus
Deucalion	dyoo-KAY-lee-on
Dia	DEE-uh
Diocles	DY-oh-kleez
Diomedes	dy-oh-MEE-deez
Dionysus	dy-oh-NY-sus
Dmetor	DMEE-tor	DEE-tor
Dodona	doh-DOH-nuh
Dolius	DOH-lee-us
Dorians	DOR-ee-unz
Dulichium	dyoo-LIK-ee-um
Dymas	DY-mus
Echeneus	ek-uh-NEE-us
Echephron	eh-KEF-ron
Echetus	EK-uh-tus
Eidothea	eye-doh-THEE-uh
Eileithyia	eye-lih-THY-uh	eye-LEE-thee-uh
Elatus	EL-uh-tus
Elis	EE-lis
Elpenor	el-PEE-nor
Elysium	ih-LIZ-ee-um	ih-LIZH-ee-um
Enipeus	ih-NY-pee-us
Epeians	eh-PEE-unz
Epeius	eh-PEE-us
Eperitus	eh-PEE-rih-tus
Ephialtes	ef-ee-AL-teez
Ephyra	EF-ih-ruh
Epicaste	ep-ih-KAS-tee
Erebus	ER-uh-bus
Erechtheus	eh-REK-thee-us
Erembi	eh-REM-by
Eriphyle	er-ih-FY-lee
Erymanthus	er-ih-MAN-thus
Eteoneus	et-ee-OH-nee-us
Ethiopians	ee-thee-OH-pee-unz
Euanthes	yoo-AN-theez
Euboea	yoo-BEE-uh
Eumaeus	yoo-MEE-us
Eumelus	yoo-MEE-lus
Eupeithes	yoo-PY-theez
Euryades	yoo-RY-uh-deez
Euryalus	yoo-RY-uh-lus
Eurybates	yoo-RIB-uh-teez
Eurycleia	yoo-rih-KLEE-uh	yoo-rih-KLY-uh
Eurydamas	yoo-RID-uh-mus
Eurydice	yoo-RID-ih-see
Eurylochus	yoo-RIL-oh-kus
Eurymachus	yoo-RIM-uh-kus
Eurymedon	yoo-RIM-uh-don
Eurymedusa	yoo-rih-muh-DOO-suh
Eurymus	YOO-rih-mus
Eurynome	yoo-RIN-oh-mee
Eurynomus	yoo-RIN-oh-mus
Eurypylus	yoo-RIP-ih-lus
Eurytus	YOO-rih-tus
Evenor	eh-VEE-nor
Geraestus	juh-REE-stus
Gorgon	GOR-gon
Gortyn	GOR-tin
Gyrae	JY-ree
Hades	HAY-deez
Halitherses	hal-ih-THUR-seez
Halius	HAL-ee-us
Hebe	HEE-bee
Helen	HEL-un
Helios	HEE-lee-os
Hellas	HEL-us
Hellespont	HEL-uh-spont
Hephaestus	hih-FES-tus	hih-FEE-stus
Hera	HEER-uh	HAIR-uh
Heracles	HER-uh-kleez
Hermes	HUR-meez
Hermione	hur-MY-oh-nee
Hippodamia	hip-oh-duh-MY-uh
Hylax	HY-laks
Hypereia	hy-puh-RY-uh
Hyperesia	hy-puh-REE-see-uh
Iardanus	ee-AR-duh-nus
Iasion	eye-AY-see-on
Iasus	EYE-uh-sus
Icarius	ih-KAIR-ee-us
Icmalius	ik-MAY-lee-us
Idomeneus	eye-DOM-uh-nyoos	eye-DOM-ih-nee-us
Ilus	EYE-lus
Ino	EYE-noh
Iolcus	eye-OL-kus
Iphicles	IF-ih-kleez
Iphimedeia	if-ih-muh-DY-uh
Iphitus	IF-ih-tus
Iphthime	if-THY-mee
Irus	EYE-rus
Ismarus	IS-muh-rus
Ithaca	ITH-uh-kuh
Ithacus	ITH-uh-kus
Itylus	IT-ih-lus
Jason	JAY-sun
Lacedaemon	las-uh-DEE-mun
Laerces	lay-UR-seez
Laertes	lay-UR-teez
Laestrygonians	lees-trih-GOH-nee-unz
Lampetie	lam-PEE-shee
Lampus	LAM-pus
Lamus	LAY-mus
Laodamas	lay-OD-uh-mus
Lapiths	LAP-iths
Leda	LEE-duh
Lemnos	LEM-nos
Leocritus	lee-OK-rih-tus
Leodes	lee-OH-deez
Lesbos	LEZ-bos
Leto	LEE-toh
Maera	MEE-ruh
Maia	MY-uh	MAY-uh
Malea	muh-LEE-uh
Mantius	MAN-tee-us
Marathon	MAR-uh-thon
Maron	MAY-ron
Mastor	MAS-tor
Medon	MEE-don
Megapenthes	meg-uh-PEN-theez
Megara	MEG-uh-ruh
Melampus	muh-LAM-pus
Melaneus	mel-uh-NEE-us
Melanthius	muh-LAN-thee-us
Melantho	muh-LAN-thoh
Memnon	MEM-non
Menelaus	men-uh-LAY-us
Menoetius	muh-NEE-tee-us
Mentes	MEN-teez
Mentor	MEN-tor
Mermerus	MUR-muh-rus
Mesaulius	muh-SAW-lee-us
Messene	muh-SEE-nee
Mimas	MY-mus
Minos	MY-nos
Moly	MOH-lee
Moulius	MOO-lee-us
Mycenae	my-SEE-nee
Mycene	my-SEE-nee
Myrmidons	MUR-mih-donz
Naiads	NY-adz	NAY-adz
Nausicaa	naw-SIK-ay-uh
Nausithous	naw-SITH-oh-us
Neaera	nee-EE-ruh
Neion	NEE-on
Neleus	NEE-lee-us
Neoptolemus	nee-op-TOL-uh-mus
Nericus	NER-ih-kus
Neriton	NER-ih-ton
Neritus	NER-ih-tus
Nestor	NES-tor
Nisus	NY-sus
Noemon	noh-EE-mon
Odysseus	oh-DIS-ee-us	oh-DISS-yoos
Oechalia	ee-KAY-lee-uh
Oedipus	EE-dih-pus	ED-ih-pus
Oenops	EE-nops
Ogygia	oh-JIJ-ee-uh
Oicles	OY-kleez
Olympus	oh-LIM-pus
Onetor	oh-NEE-tor
Ops	OPS
Orchomenus	or-KOM-uh-nus
Orestes	oh-RES-teez
Orion	oh-RY-un
Ormenus	OR-muh-nus
Orsilochus	or-SIL-oh-kus
Ortilochus	or-TIL-oh-kus
Ortygia	or-TIJ-ee-uh
Ossa	OS-uh
Otus	OH-tus
Paeeon	pee-EE-on
Pandareus	pan-DAIR-ee-us
Panopeus	puh-NOP-ee-us
Paphos	PAF-os	PAY-fos
Parnassus	par-NAS-us
Patroclus	puh-TROH-klus
Peirithous	py-RITH-oh-us
Peisander	py-SAN-der
Peisenor	py-SEE-nor
Peisistratus	py-SIS-truh-tus
Pelasgians	puh-LAZ-jee-unz
Peleus	PEE-lee-us
Pelias	PEE-lee-us	PEL-ee-us
Pelion	PEE-lee-on
Penelope	puh-NEL-uh-pee
Periboea	per-ih-BEE-uh
Periclymenus	per-ih-KLIM-uh-nus
Perimedes	per-ih-MEE-deez
Pero	PEE-roh
Perse	PUR-see
Persephone	pur-SEF-oh-nee
Perseus	PUR-see-us
Phaeacians	fee-AY-shunz
Phaedimus	FEE-dih-mus
Phaedra	FEE-druh	FAY-druh
Phaestus	FEE-stus	FES-tus
Phaethon	FAY-uh-thon
Phaethusa	fay-uh-THOO-suh
